id,x,y,z,speed
0,0.6470336318016052,-0.3330442011356354,3.7079312801361084,1.0004993599923206
0,0.7623485922813416,-0.3331317603588104,3.7083210945129395,1.0007011386483111
0,0.8811384439468384,-0.33323773741722107,3.708794116973877,1.0009274814599032
0,1.0020489692687988,-0.3333624303340912,3.709353446960449,1.0011994025877209
0,1.1229591369628906,-0.3335043787956238,3.7099955081939697,1.0015092654784283
0,1.2448937892913818,-0.3336651027202606,3.710737705230713,1.001848783364325
0,1.3668277263641357,-0.3338434398174286,3.7115888595581055,1.0022726395833461
0,1.4891518354415894,-0.3340398371219635,3.7125682830810547,1.0027435974497372
0,1.6115905046463013,-0.33425372838974,3.7137038707733154,1.0033037835048393
0,1.7340272665023804,-0.334484726190567,3.7150156497955322,1.003993894477461
0,1.856487512588501,-0.3347325325012207,3.7165427207946777,1.004760344212109
0,1.9789482355117798,-0.3349969983100891,3.718317985534668,1.0057809871457704
0,2.1014046669006348,-0.3352780044078827,3.7203707695007324,1.0069538349488614
0,2.223855972290039,-0.3355759084224701,3.722734212875366,1.008336527687033
0,2.3463006019592285,-0.33589136600494385,3.7254159450531006,1.0100563598118957
0,2.468737840652466,-0.3362256586551666,3.72841739654541,1.0119384432095353
0,2.591168165206909,-0.33658096194267273,3.7316904067993164,1.014177686077887
0,2.713592052459717,-0.3369586765766144,3.7351861000061035,1.0165186599549711
0,2.836012840270996,-0.3373605012893677,3.7387900352478027,1.0189510719132437
0,2.958432912826538,-0.3377869129180908,3.7424116134643555,1.021271030981078
0,3.0808558464050293,-0.338238388299942,3.7459375858306885,1.0235004886936563
0,3.203284502029419,-0.3387162685394287,3.7492475509643555,1.0255014115409562
0,3.32572078704834,-0.3392220139503479,3.7522621154785156,1.0271831328103138
0,3.448166608810425,-0.3397591710090637,3.7548587322235107,1.028675043006621
0,3.5706214904785156,-0.340331494808197,3.7569615840911865,1.0293600279799833
0,3.693084716796875,-0.34094318747520447,3.758497953414917,1.0296601528786564
0,3.8155338764190674,-0.34160035848617554,3.7594187259674072,1.029261260840456
0,3.937985897064209,-0.3423074781894684,3.7597157955169678,1.0279551194676722
0,4.060218334197998,-0.34307026863098145,3.759406566619873,1.0261988012706118
0,4.181354999542236,-0.34388837218284607,3.758563995361328,1.0233367154165351
0,4.302487373352051,-0.34477362036705017,3.757244348526001,1.0200206336357704
0,4.420367240905762,-0.3457062542438507,3.755603075027466,1.016277152976351
0,4.538242816925049,-0.34671440720558167,3.753680944442749,1.0119274302939916
0,4.649773120880127,-0.34774401783943176,3.75168514251709,1.0075516706317016
0,4.7528276443481445,-0.3487672805786133,3.7497575283050537,1.0032383323644987
0,4.8558807373046875,-0.3498656749725342,3.747802734375,0.9986303079922427
0,4.951043605804443,-0.3509528338909149,3.746023178100586,0.9942468378027817
0,5.041014194488525,-0.35205066204071045,3.7444074153900146,0.9900272737927465
0,5.128551483154297,-0.3531888425350189,3.7429325580596924,0.9858946472081943
0,5.215304851531982,-0.35438939929008484,3.7415969371795654,0.9818021638583248
0,5.301904201507568,-0.3556647300720215,3.740419626235962,0.9777347336477873
0,5.388490200042725,-0.3570217788219452,3.7394278049468994,0.9737085104099868
0,5.475077152252197,-0.3584662973880768,3.7386507987976074,0.9697456673160306
0,5.56166410446167,-0.3600040376186371,3.7381179332733154,0.9658714387045043
0,5.648250579833984,-0.36164146661758423,3.737861156463623,0.9621143404812271
0,5.734835624694824,-0.36338508129119873,3.7379109859466553,0.9585048996414265
0,5.82141637802124,-0.36524197459220886,3.7382986545562744,0.9550751987913106
0,5.907988548278809,-0.36721956729888916,3.739055633544922,0.9518586318397195
0,5.994625568389893,-0.3693286180496216,3.7402145862579346,0.9489035474582098
0,6.081168174743652,-0.37157541513442993,3.741802930831909,0.9462633042830446
0,6.167675971984863,-0.37397217750549316,3.7438466548919678,0.9439427892501469
0,6.2547173500061035,-0.37654539942741394,3.746382236480713,0.9419741083646228
0,6.343415260314941,-0.3793403208255768,3.749473810195923,0.9403388571828708
0,6.434992790222168,-0.38241609930992126,3.7532434463500977,0.939019168963913
0,6.484238624572754,-0.38415029644966125,3.755533456802368,0.938492611355278
0,6.509553909301758,-0.3850630223751068,3.756788492202759,0.9382845305935422
0,6.533781051635742,-0.38595038652420044,3.7580413818359375,0.938136718921529
0,6.557960033416748,-0.38684993982315063,3.7593441009521484,0.9380344666729206
0,6.582068920135498,-0.3877611756324768,3.760695695877075,0.9379804062610904
0,6.606242656707764,-0.38868942856788635,3.762104034423828,0.9379752453845912
0,6.630549907684326,-0.3896377980709076,3.7635741233825684,0.9380205436333796
0,6.654942035675049,-0.3906048834323883,3.765104055404663,0.9381194782049319
0,6.679330348968506,-0.39158743619918823,3.7666890621185303,0.9382743249029943
0,6.703801155090332,-0.3925892412662506,3.7683348655700684,0.9384836597982076
0,6.728111267089844,-0.3936004936695099,3.7700254917144775,0.938743487838184
0,6.752495288848877,-0.3946309983730316,3.7717769145965576,0.939059111922165
