TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
3,33,0.046289,7.75,-0.0035761,-0.0035761
3,33,0,7.75,-0.0035112,-0.0035112
3,33,0.047151,7.7029,-0.0035652,-0.0035652
3,33,-1.622e-27,7.7038,-0.0034457,-0.0034457
3,33,0,-7.5586,-0.0034439,-0.0034439
3,33,0.048138,-7.5563,-0.0035597,-0.0035597
3,33,0,-7.5076,-0.0034443,-0.0034443
3,33,0.048265,-7.5055,-0.0035592,-0.0035592
3,33,4.2207e-25,7.6569,-0.0034434,-0.0034434
3,33,0.047601,7.6552,-0.0035616,-0.0035616
3,33,-7.2265e-27,7.6085,-0.0034436,-0.0034436
3,33,0.047917,7.6063,-0.0035604,-0.0035604
3,33,2.9909e-29,7.5586,-0.0034439,-0.0034439
3,33,0.048138,7.5563,-0.0035597,-0.0035597
3,33,-1.0027e-35,7.4559,-0.0034448,-0.0034448
3,33,0.048331,7.4543,-0.003559,-0.003559
3,33,-7.9996e-33,7.5076,-0.0034443,-0.0034443
3,33,0.048265,7.5055,-0.0035592,-0.0035592
3,33,-1.4016e-39,7.4042,-0.0034453,-0.0034453
3,33,0.048376,7.403,-0.0035588,-0.0035588
3,33,-2.3262e-43,7.3527,-0.0034456,-0.0034456
3,33,0.048422,7.352,-0.0035587,-0.0035587
3,33,2.8026e-45,7.3016,-0.0034458,-0.0034458
3,33,0.048468,7.3012,-0.0035585,-0.0035585
3,33,0,7.2508,-0.0034458,-0.0034458
3,33,0.048507,7.2507,-0.0035583,-0.0035583
3,33,0,7.2004,-0.0034457,-0.0034457
3,33,0.048535,7.2004,-0.003558,-0.003558
3,33,0,7.1502,-0.0034456,-0.0034456
3,33,0.048554,7.1502,-0.0035578,-0.0035578
3,33,0,7.1001,-0.0034455,-0.0034455
3,33,0.048565,7.1001,-0.0035576,-0.0035576
3,33,0.048571,7.05,-0.0035574,-0.0035574
3,33,0,7.05,-0.0034454,-0.0034454
3,33,0,7,-0.0034454,-0.0034454
3,33,0.048574,7,-0.0035572,-0.0035572
3,33,0.048576,6.95,-0.003557,-0.003557
3,33,0,6.95,-0.0034453,-0.0034453
3,33,0.048577,6.9,-0.0035568,-0.0035568
3,33,0,6.9,-0.0034453,-0.0034453
3,33,0.048577,6.85,-0.0035566,-0.0035566
3,33,0,6.85,-0.0034452,-0.0034452
3,33,0,6.8,-0.0034452,-0.0034452
3,33,0.048577,6.8,-0.0035564,-0.0035564
3,33,0,6.75,-0.0034452,-0.0034452
3,33,0.048578,6.75,-0.0035563,-0.0035563
3,33,0,6.7,-0.0034453,-0.0034453
3,33,0.048578,6.7,-0.0035561,-0.0035561
3,33,0.048578,6.65,-0.0035559,-0.0035559
3,33,0,6.65,-0.0034452,-0.0034452
3,33,0.048578,6.6,-0.0035558,-0.0035558
3,33,0,6.6,-0.0034452,-0.0034452
3,33,0,6.55,-0.0034452,-0.0034452
3,33,0.048578,6.55,-0.0035556,-0.0035556
3,33,0,6.5,-0.0034452,-0.0034452
3,33,0.048578,6.5,-0.0035555,-0.0035555
