TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
20,50,0.046287,7.75,0.00093955,0.00093955
20,50,0,7.75,0.00096099,0.00096099
20,50,0.04715,7.7029,0.00095242,0.00095242
20,50,-4.3339e-27,7.7038,0.00096221,0.00096221
20,50,0,-7.5587,0.00096571,0.00096571
20,50,0.048137,-7.5563,0.0009546,0.0009546
20,50,0,-7.5076,0.00096518,0.00096518
20,50,0.048264,-7.5055,0.00095539,0.00095539
20,50,7.0603e-25,7.6569,0.00096623,0.00096623
20,50,0.0476,7.6552,0.00095195,0.00095195
20,50,-9.7212e-27,7.6085,0.00096603,0.00096603
20,50,0.047916,7.6063,0.00095304,0.00095304
20,50,3.623e-29,7.5587,0.00096569,0.00096569
20,50,0.048137,7.5563,0.00095463,0.00095463
20,50,-1.0479e-35,7.4559,0.00096447,0.00096447
20,50,0.048329,7.4543,0.00095549,0.00095549
20,50,-6.5203e-33,7.5076,0.00096519,0.00096519
20,50,0.048264,7.5055,0.0009554,0.0009554
20,50,-6.5427e-40,7.4042,0.00096376,0.00096376
20,50,0.048375,7.4031,0.00095535,0.00095535
20,50,2.3962e-43,7.3527,0.0009632,0.0009632
20,50,0.048421,7.352,0.00095523,0.00095523
20,50,4.2039e-45,7.3016,0.0009629,0.0009629
20,50,0.048467,7.3012,0.00095519,0.00095519
20,50,0,7.2508,0.00096283,0.00096283
20,50,0.048506,7.2507,0.00095523,0.00095523
20,50,0,7.2004,0.0009629,0.0009629
20,50,0.048534,7.2004,0.00095533,0.00095533
20,50,0,7.1502,0.00096304,0.00096304
20,50,0.048553,7.1502,0.00095545,0.00095545
20,50,0,7.1001,0.00096319,0.00096319
20,50,0.048564,7.1001,0.00095557,0.00095557
20,50,0.04857,7.05,0.00095569,0.00095569
20,50,0,7.05,0.00096332,0.00096332
20,50,0,7,0.00096341,0.00096341
20,50,0.048573,7,0.0009558,0.0009558
20,50,0.048575,6.95,0.00095592,0.00095592
20,50,0,6.95,0.00096348,0.00096348
20,50,0.048576,6.9,0.00095607,0.00095607
20,50,0,6.9,0.00096354,0.00096354
20,50,0.048576,6.85,0.00095622,0.00095622
20,50,0,6.85,0.00096357,0.00096357
20,50,0,6.8,0.00096359,0.00096359
20,50,0.048577,6.8,0.00095636,0.00095636
20,50,0,6.75,0.00096363,0.00096363
20,50,0.048577,6.75,0.00095649,0.00095649
20,50,0,6.7,0.00096358,0.00096358
20,50,0.048577,6.7,0.00095662,0.00095662
20,50,0.048577,6.65,0.00095676,0.00095676
20,50,0,6.65,0.00096367,0.00096367
20,50,0.048577,6.6,0.0009569,0.0009569
20,50,0,6.6,0.00096361,0.00096361
20,50,0,6.55,0.00096363,0.00096363
20,50,0.048577,6.55,0.00095702,0.00095702
20,50,0,6.5,0.00096364,0.00096364
20,50,0.048577,6.5,0.00095712,0.00095712
20,50,0.048577,6.45,0.00095721,0.00095721
20,50,0,6.45,0.00096364,0.00096364
20,50,0,6.4,0.00096364,0.00096364
20,50,0.048577,6.4,0.00095728,0.00095728
20,50,0,6.35,0.00096364,0.00096364
20,50,0.048577,6.35,0.00095733,0.00095733
20,50,0.09338,7.75,0.00086569,0.00086569
20,50,0.094943,7.7024,0.00087291,0.00087291
20,50,15,7.7038,-2.7486e-06,-2.7486e-06
20,50,15,7.75,6.757e-07,6.757e-07
20,50,14.953,7.7029,3.9064e-06,3.9064e-06
