TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
8,38,0.046287,7.75,0.00028175,0.00028175
8,38,0,7.75,0.00030992,0.00030992
8,38,0.047151,7.7029,0.00029412,0.00029412
8,38,-3.9393e-27,7.7038,0.00032081,0.00032081
8,38,0,-7.5587,0.00032403,0.00032403
8,38,0.048137,-7.5563,0.00029487,0.00029487
8,38,0,-7.5076,0.00032351,0.00032351
8,38,0.048264,-7.5055,0.00029467,0.00029467
8,38,6.6471e-25,7.6569,0.00032458,0.00032458
8,38,0.0476,7.6552,0.00029423,0.00029423
8,38,-9.3581e-27,7.6085,0.00032437,0.00032437
8,38,0.047916,7.6063,0.00029478,0.00029478
8,38,3.531e-29,7.5587,0.00032401,0.00032401
8,38,0.048137,7.5563,0.00029489,0.00029489
8,38,-1.0413e-35,7.4559,0.00032282,0.00032282
8,38,0.04833,7.4543,0.00029434,0.00029434
8,38,-6.7356e-33,7.5076,0.00032352,0.00032352
8,38,0.048264,7.5055,0.00029469,0.00029469
8,38,-7.6302e-40,7.4042,0.00032215,0.00032215
8,38,0.048375,7.4031,0.00029404,0.00029404
8,38,1.7096e-43,7.3527,0.00032163,0.00032163
8,38,0.048421,7.352,0.0002939,0.0002939
8,38,4.2039e-45,7.3016,0.00032135,0.00032135
8,38,0.048467,7.3012,0.00029391,0.00029391
8,38,0,7.2508,0.00032128,0.00032128
8,38,0.048506,7.2507,0.00029403,0.00029403
8,38,0,7.2004,0.00032136,0.00032136
8,38,0.048534,7.2004,0.0002942,0.0002942
8,38,0,7.1502,0.00032149,0.00032149
8,38,0.048553,7.1502,0.0002944,0.0002944
8,38,0,7.1001,0.00032164,0.00032164
8,38,0.048564,7.1001,0.00029459,0.00029459
8,38,0.04857,7.05,0.00029474,0.00029474
8,38,0,7.05,0.00032176,0.00032176
8,38,0,7,0.00032185,0.00032185
8,38,0.048574,7,0.00029481,0.00029481
8,38,0.048575,6.95,0.00029483,0.00029483
8,38,0,6.95,0.00032192,0.00032192
8,38,0.048576,6.9,0.00029482,0.00029482
8,38,0,6.9,0.00032198,0.00032198
8,38,0.048577,6.85,0.0002948,0.0002948
8,38,0,6.85,0.00032201,0.00032201
8,38,0,6.8,0.00032202,0.00032202
8,38,0.048577,6.8,0.00029476,0.00029476
8,38,0,6.75,0.00032206,0.00032206
8,38,0.048577,6.75,0.00029472,0.00029472
8,38,0,6.7,0.00032201,0.00032201
8,38,0.048577,6.7,0.00029467,0.00029467
8,38,0.048577,6.65,0.00029462,0.00029462
8,38,0,6.65,0.0003221,0.0003221
8,38,0.048577,6.6,0.00029459,0.00029459
8,38,0,6.6,0.00032205,0.00032205
8,38,0,6.55,0.00032206,0.00032206
8,38,0.048577,6.55,0.00029456,0.00029456
8,38,0,6.5,0.00032207,0.00032207
8,38,0.048577,6.5,0.00029453,0.00029453
8,38,0.048577,6.45,0.00029451,0.00029451
8,38,0,6.45,0.00032207,0.00032207
8,38,0,6.4,0.00032207,0.00032207
8,38,0.048577,6.4,0.00029449,0.00029449
8,38,0,6.35,0.00032207,0.00032207
8,38,0.048577,6.35,0.00029448,0.00029448
8,38,0.09338,7.75,0.00025339,0.00025339
8,38,0.094943,7.7024,0.00026132,0.00026132
8,38,15,7.7038,-2.7486e-06,-2.7486e-06
8,38,15,7.75,9.5116e-07,9.5116e-07
8,38,14.953,7.7029,4.6178e-06,4.6178e-06
8,38,14.954,7.75,-8.5428e-06,-8.5428e-06
8,38,0.14387,7.7021,0.00022383,0.00022383
8,38,0.14182,7.75,0.000216,0.000216
8,38,14.907,7.75,-4.0944e-06,-4.0944e-06
8,38,14.905,7.7024,4.0575e-06,4.0575e-06
8,38,0.19172,7.75,0.00017048,0.00017048
8,38,0.19391,7.7018,0.0001792,0.0001792
