TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
9,39,0.046287,7.75,-5.2921e-05,-5.2921e-05
9,39,0,7.75,-4.7947e-05,-4.7947e-05
9,39,0.047151,7.7029,-4.0174e-05,-4.0174e-05
9,39,-3.715e-27,7.7038,-4.384e-05,-4.384e-05
9,39,0,-7.5587,-4.0774e-05,-4.0774e-05
9,39,0.048137,-7.5563,-3.7103e-05,-3.7103e-05
9,39,0,-7.5076,-4.129e-05,-4.129e-05
9,39,0.048264,-7.5055,-3.7022e-05,-3.7022e-05
9,39,6.4122e-25,7.6569,-4.0224e-05,-4.0224e-05
9,39,0.0476,7.6552,-3.8906e-05,-3.8906e-05
9,39,-9.1518e-27,7.6085,-4.0433e-05,-4.0433e-05
9,39,0.047916,7.6063,-3.7677e-05,-3.7677e-05
9,39,3.4787e-29,7.5587,-4.0793e-05,-4.0793e-05
9,39,0.048137,7.5563,-3.7093e-05,-3.7093e-05
9,39,-1.0376e-35,7.4559,-4.1963e-05,-4.1963e-05
9,39,0.04833,7.4543,-3.7207e-05,-3.7207e-05
9,39,-6.858e-33,7.5076,-4.1281e-05,-4.1281e-05
9,39,0.048264,7.5055,-3.7017e-05,-3.7017e-05
9,39,-8.2484e-40,7.4042,-4.2617e-05,-4.2617e-05
9,39,0.048375,7.4031,-3.742e-05,-3.742e-05
9,39,1.3172e-43,7.3527,-4.3124e-05,-4.3124e-05
9,39,0.048421,7.352,-3.7536e-05,-3.7536e-05
9,39,4.2039e-45,7.3016,-4.3392e-05,-4.3392e-05
9,39,0.048467,7.3012,-3.7545e-05,-3.7545e-05
9,39,0,7.2508,-4.3449e-05,-4.3449e-05
9,39,0.048506,7.2507,-3.7487e-05,-3.7487e-05
9,39,0,7.2004,-4.3375e-05,-4.3375e-05
9,39,0.048535,7.2004,-3.739e-05,-3.739e-05
9,39,0,7.1502,-4.3238e-05,-4.3238e-05
9,39,0.048553,7.1502,-3.7278e-05,-3.7278e-05
9,39,0,7.1001,-4.3097e-05,-4.3097e-05
9,39,0.048564,7.1001,-3.7153e-05,-3.7153e-05
9,39,0.04857,7.05,-3.7007e-05,-3.7007e-05
9,39,0,7.05,-4.2976e-05,-4.2976e-05
9,39,0,7,-4.289e-05,-4.289e-05
9,39,0.048574,7,-3.6867e-05,-3.6867e-05
9,39,0.048575,6.95,-3.6731e-05,-3.6731e-05
9,39,0,6.95,-4.2822e-05,-4.2822e-05
9,39,0.048576,6.9,-3.6585e-05,-3.6585e-05
9,39,0,6.9,-4.2766e-05,-4.2766e-05
9,39,0.048577,6.85,-3.6441e-05,-3.6441e-05
9,39,0,6.85,-4.2736e-05,-4.2736e-05
9,39,0,6.8,-4.2721e-05,-4.2721e-05
9,39,0.048577,6.8,-3.6325e-05,-3.6325e-05
9,39,0,6.75,-4.268e-05,-4.268e-05
9,39,0.048577,6.75,-3.6241e-05,-3.6241e-05
9,39,0,6.7,-4.2736e-05,-4.2736e-05
9,39,0.048577,6.7,-3.6204e-05,-3.6204e-05
9,39,0.048577,6.65,-3.621e-05,-3.621e-05
9,39,0,6.65,-4.2641e-05,-4.2641e-05
9,39,0.048577,6.6,-3.6234e-05,-3.6234e-05
9,39,0,6.6,-4.2699e-05,-4.2699e-05
9,39,0,6.55,-4.2679e-05,-4.2679e-05
9,39,0.048577,6.55,-3.6267e-05,-3.6267e-05
9,39,0,6.5,-4.2677e-05,-4.2677e-05
9,39,0.048577,6.5,-3.6307e-05,-3.6307e-05
9,39,0.048577,6.45,-3.6345e-05,-3.6345e-05
9,39,0,6.45,-4.2675e-05,-4.2675e-05
9,39,0,6.4,-4.2675e-05,-4.2675e-05
9,39,0.048577,6.4,-3.6375e-05,-3.6375e-05
9,39,0,6.35,-4.2676e-05,-4.2676e-05
9,39,0.048577,6.35,-3.6396e-05,-3.6396e-05
9,39,0.09338,7.75,-4.4079e-05,-4.4079e-05
9,39,0.094943,7.7024,-3.5231e-05,-3.5231e-05
9,39,15,7.7038,-2.7486e-06,-2.7486e-06
9,39,15,7.75,5.3219e-07,5.3219e-07
9,39,14.953,7.7029,3.0772e-06,3.0772e-06
9,39,14.954,7.75,-1.0285e-05,-1.0285e-05
9,39,0.14387,7.7021,-2.8198e-05,-2.8198e-05
9,39,0.14182,7.75,-3.6145e-05,-3.6145e-05
9,39,14.907,7.75,-7.6224e-06,-7.6224e-06
9,39,14.905,7.7024,9.9499e-07,9.9499e-07
9,39,0.19172,7.75,-3.4467e-05,-3.4467e-05
9,39,0.19391,7.7018,-2.5806e-05,-2.5806e-05
9,39,0.24276,7.75,-4.5965e-05,-4.5965e-05
9,39,0.24475,7.7017,-3.5505e-05,-3.5505e-05
9,39,14.858,7.75,-8.5761e-06,-8.5761e-06
9,39,14.856,7.7021,-1.0115e-06,-1.0115e-06
9,39,14.808,7.75,-8.1975e-06,-8.1975e-06
9,39,14.806,7.7018,-9.7408e-07,-9.7408e-07
9,39,14.757,7.75,-8.2213e-06,-8.2213e-06
9,39,14.755,7.7017,-1.2549e-06,-1.2549e-06
9,39,14.706,7.75,-7.6455e-06,-7.6455e-06
9,39,14.704,7.7016,-1.1807e-06,-1.1807e-06
9,39,14.654,7.75,-6.6072e-06,-6.6072e-06
9,39,14.653,7.7016,-7.9306e-07,-7.9306e-07
9,39,14.602,7.75,-5.1825e-06,-5.1825e-06
9,39,14.602,7.7015,-7.8972e-08,-7.8972e-08
9,39,14.551,7.75,-3.3734e-06,-3.3734e-06
9,39,14.551,7.7015,9.8287e-07,9.8287e-07
9,39,14.501,7.75,-1.2425e-06,-1.2425e-06
9,39,14.501,7.7014,2.3768e-06,2.3768e-06
9,39,14.45,7.75,1.2744e-06,1.2744e-06
9,39,14.45,7.7014,4.1281e-06,4.1281e-06
9,39,14.4,7.75,3.9791e-06,3.9791e-06
9,39,14.4,7.7014,6.2361e-06,6.2361e-06
9,39,14.35,7.75,6.9192e-06,6.9192e-06
9,39,14.35,7.7014,8.7773e-06,8.7773e-06
9,39,14.3,7.7014,1.181e-05,1.181e-05
9,39,14.3,7.75,1.0269e-05,1.0269e-05
9,39,14.25,7.75,1.3918e-05,1.3918e-05
9,39,14.25,7.7014,1.531e-05,1.531e-05
9,39,14.2,7.7014,1.9143e-05,1.9143e-05
9,39,14.2,7.75,1.7764e-05,1.7764e-05
9,39,14.15,7.7014,2.3084e-05,2.3084e-05
9,39,14.15,7.75,2.1654e-05,2.1654e-05
9,39,14.1,7.7014,2.6603e-05,2.6603e-05
9,39,14.1,7.75,2.504e-05,2.504e-05
9,39,14.05,7.75,2.732e-05,2.732e-05
9,39,14.05,7.7014,2.9022e-05,2.9022e-05
9,39,14,7.7014,2.973e-05,2.973e-05
9,39,14,7.75,2.7785e-05,2.7785e-05
9,39,13.95,7.7014,2.828e-05,2.828e-05
9,39,13.95,7.75,2.5983e-05,2.5983e-05
9,39,13.9,7.7014,2.4003e-05,2.4003e-05
9,39,13.9,7.75,2.0985e-05,2.0985e-05
9,39,13.85,7.75,1.1612e-05,1.1612e-05
9,39,13.85,7.7014,1.5569e-05,1.5569e-05
9,39,13.8,7.75,-4.6081e-06,-4.6081e-06
9,39,13.8,7.7014,6.5233e-09,6.5233e-09
9,39,13.75,7.75,-3.5115e-05,-3.5115e-05
9,39,13.75,7.7014,-2.9301e-05,-2.9301e-05
9,39,13.7,7.7014,-6.8574e-05,-6.8574e-05
9,39,13.7,7.75,-7.6514e-05,-7.6514e-05
9,39,13.65,7.7014,-0.00010894,-0.00010894
9,39,13.65,7.75,-0.00011806,-0.00011806
9,39,13.6,7.75,-0.00016573,-0.00016573
9,39,13.6,7.7014,-0.00015654,-0.00015654
9,39,13.55,7.75,-0.00022858,-0.00022858
9,39,13.55,7.7014,-0.00021943,-0.00021943
9,39,15,-7.7038,-2.749e-06,-2.749e-06
9,39,14.953,-7.7029,3.0813e-06,3.0813e-06
9,39,15,-7.75,5.4616e-07,5.4616e-07
9,39,14.954,-7.75,-1.0247e-05,-1.0247e-05
9,39,15,-7.6569,2.5179e-06,2.5179e-06
9,39,14.952,-7.6552,4.1073e-06,4.1073e-06
9,39,15,7.6569,2.5186e-06,2.5186e-06
9,39,14.952,7.6552,4.1012e-06,4.1012e-06
9,39,15,7.6085,2.1845e-06,2.1845e-06
9,39,14.952,7.6063,4.0466e-06,4.0466e-06
9,39,15,7.5586,1.8532e-06,1.8532e-06
9,39,14.952,7.5563,3.6823e-06,3.6823e-06
9,39,15,7.5076,1.3469e-06,1.3469e-06
9,39,14.952,7.5055,3.1747e-06,3.1747e-06
9,39,15,7.4559,6.6313e-07,6.6313e-07
9,39,14.952,7.4543,2.6757e-06,2.6757e-06
9,39,15,7.4042,1.4082e-08,1.4082e-08
9,39,14.952,7.4031,2.2703e-06,2.2703e-06
9,39,15,7.3527,-4.8321e-07,-4.8321e-07
9,39,14.952,7.352,2.0008e-06,2.0008e-06
9,39,15,7.3016,-7.3923e-07,-7.3923e-07
9,39,14.952,7.3012,1.8532e-06,1.8532e-06
9,39,15,7.2508,-7.9011e-07,-7.9011e-07
9,39,14.951,7.2507,1.787e-06,1.787e-06
9,39,15,7.2004,-7.0832e-07,-7.0832e-07
9,39,14.951,7.2004,1.7697e-06,1.7697e-06
9,39,15,7.1502,-5.705e-07,-5.705e-07
9,39,14.951,7.1502,1.772e-06,1.772e-06
9,39,15,7.1001,-4.2673e-07,-4.2673e-07
9,39,14.951,7.1001,1.7815e-06,1.7815e-06
9,39,15,7.05,-2.8772e-07,-2.8772e-07
9,39,14.951,7.05,1.7896e-06,1.7896e-06
9,39,15,7,-2.3783e-07,-2.3783e-07
9,39,14.951,7,1.7974e-06,1.7974e-06
9,39,15,6.95,-1.4617e-07,-1.4617e-07
9,39,14.951,6.95,1.8003e-06,1.8003e-06
9,39,15,6.9,-1.0118e-07,-1.0118e-07
9,39,14.951,6.9,1.7962e-06,1.7962e-06
9,39,15,6.85,-6.6772e-08,-6.6772e-08
9,39,14.951,6.85,1.7881e-06,1.7881e-06
9,39,15,6.8,-4.7348e-08,-4.7348e-08
9,39,14.951,6.8,1.7785e-06,1.7785e-06
9,39,15,6.75,-3.3241e-08,-3.3241e-08
9,39,14.951,6.75,1.768e-06,1.768e-06
9,39,15,6.7,-2.4798e-08,-2.4798e-08
9,39,14.951,6.7,1.7585e-06,1.7585e-06
9,39,15,6.65,-1.5918e-08,-1.5918e-08
9,39,14.951,6.65,1.748e-06,1.748e-06
9,39,15,6.6,-2.8847e-08,-2.8847e-08
9,39,14.951,6.6,1.7341e-06,1.7341e-06
9,39,15,6.55,1.9667e-08,1.9667e-08
9,39,14.951,6.55,1.7188e-06,1.7188e-06
9,39,15,6.5,2.5414e-08,2.5414e-08
9,39,14.951,6.5,1.7118e-06,1.7118e-06
9,39,15,6.45,-2.0704e-08,-2.0704e-08
9,39,14.951,6.45,1.7046e-06,1.7046e-06
9,39,15,6.4,-3.2895e-08,-3.2895e-08
