TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
10,40,0.046287,7.75,-0.00011874,-0.00011874
10,40,0,7.75,-0.00014207,-0.00014207
10,40,0.047151,7.7029,-0.00010588,-0.00010588
10,40,-3.651e-27,7.7038,-0.00014787,-0.00014787
10,40,0,-7.5587,-0.00014484,-0.00014484
10,40,0.048138,-7.5563,-0.00010033,-0.00010033
10,40,0,-7.5076,-0.00014536,-0.00014536
10,40,0.048264,-7.5055,-9.9677e-05,-9.9677e-05
10,40,6.3452e-25,7.6569,-0.00014429,-0.00014429
10,40,0.0476,7.6552,-0.00010407,-0.00010407
10,40,-9.0929e-27,7.6085,-0.0001445,-0.0001445
10,40,0.047916,7.6063,-0.00010188,-0.00010188
10,40,3.4638e-29,7.5587,-0.00014486,-0.00014486
10,40,0.048137,7.5563,-0.00010031,-0.00010031
10,40,-1.0365e-35,7.4559,-0.00014603,-0.00014603
10,40,0.04833,7.4543,-9.9539e-05,-9.9539e-05
10,40,-6.8929e-33,7.5076,-0.00014535,-0.00014535
10,40,0.048264,7.5055,-9.9664e-05,-9.9664e-05
10,40,-8.4248e-40,7.4042,-0.00014667,-0.00014667
10,40,0.048375,7.4031,-9.9581e-05,-9.9581e-05
10,40,1.2051e-43,7.3527,-0.00014718,-0.00014718
10,40,0.048421,7.352,-9.9598e-05,-9.9598e-05
10,40,4.2039e-45,7.3016,-0.00014744,-0.00014744
10,40,0.048467,7.3012,-9.9526e-05,-9.9526e-05
10,40,0,7.2508,-0.0001475,-0.0001475
10,40,0.048506,7.2507,-9.9399e-05,-9.9399e-05
10,40,0,7.2004,-0.00014742,-0.00014742
10,40,0.048535,7.2004,-9.926e-05,-9.926e-05
10,40,0,7.1502,-0.00014729,-0.00014729
10,40,0.048553,7.1502,-9.9131e-05,-9.9131e-05
10,40,0,7.1001,-0.00014715,-0.00014715
10,40,0.048564,7.1001,-9.9027e-05,-9.9027e-05
10,40,0.04857,7.05,-9.8947e-05,-9.8947e-05
10,40,0,7.05,-0.00014702,-0.00014702
10,40,0,7,-0.00014694,-0.00014694
10,40,0.048574,7,-9.8897e-05,-9.8897e-05
10,40,0.048575,6.95,-9.8862e-05,-9.8862e-05
10,40,0,6.95,-0.00014687,-0.00014687
10,40,0.048576,6.9,-9.8824e-05,-9.8824e-05
10,40,0,6.9,-0.00014682,-0.00014682
10,40,0.048577,6.85,-9.8783e-05,-9.8783e-05
10,40,0,6.85,-0.00014679,-0.00014679
10,40,0,6.8,-0.00014677,-0.00014677
10,40,0.048577,6.8,-9.8737e-05,-9.8737e-05
10,40,0,6.75,-0.00014673,-0.00014673
10,40,0.048577,6.75,-9.8686e-05,-9.8686e-05
10,40,0,6.7,-0.00014679,-0.00014679
10,40,0.048577,6.7,-9.8637e-05,-9.8637e-05
10,40,0.048577,6.65,-9.8589e-05,-9.8589e-05
10,40,0,6.65,-0.00014669,-0.00014669
10,40,0.048577,6.6,-9.8531e-05,-9.8531e-05
10,40,0,6.6,-0.00014675,-0.00014675
10,40,0,6.55,-0.00014673,-0.00014673
10,40,0.048577,6.55,-9.8468e-05,-9.8468e-05
10,40,0,6.5,-0.00014673,-0.00014673
10,40,0.048577,6.5,-9.8415e-05,-9.8415e-05
10,40,0.048577,6.45,-9.8385e-05,-9.8385e-05
10,40,0,6.45,-0.00014673,-0.00014673
10,40,0,6.4,-0.00014673,-0.00014673
10,40,0.048577,6.4,-9.8384e-05,-9.8384e-05
10,40,0,6.35,-0.00014673,-0.00014673
10,40,0.048577,6.35,-9.8405e-05,-9.8405e-05
10,40,0.09338,7.75,-7.3921e-05,-7.3921e-05
10,40,0.094943,7.7024,-6.5681e-05,-6.5681e-05
10,40,15,7.7038,-2.7486e-06,-2.7486e-06
10,40,15,7.75,6.6085e-07,6.6085e-07
10,40,14.953,7.7029,3.7029e-06,3.7029e-06
10,40,14.954,7.75,-9.7197e-06,-9.7197e-06
10,40,0.14387,7.7021,-2.7681e-05,-2.7681e-05
10,40,0.14182,7.75,-3.5838e-05,-3.5838e-05
10,40,14.907,7.75,-6.4785e-06,-6.4785e-06
10,40,14.905,7.7024,2.3095e-06,2.3095e-06
10,40,0.19172,7.75,-4.9389e-06,-4.9389e-06
10,40,0.19391,7.7018,6.9815e-06,6.9815e-06
10,40,0.24276,7.75,2.3191e-05,2.3191e-05
