#Time	TranslateX	TranslateY	TranslateZ	RotateX	RotateY	RotateZ
54	7.67269390625	0	2.13170542127	333.8420901295322	9.517544289760245	0.0
54.05	7.6810130603	0	2.13903717104	346.3910901293736	9.852276057857365	0.0
54.1	7.68775109118	0	2.1472770543	358.940090129215	10.121016143180197	0.0
54.15	7.6924303553	0	2.15606206162	11.504845411062439	10.303804308224052	0.0
54.2	7.69481446457	0	2.16497520629	24.69216937472152	10.38725904596835	0.0
54.25	7.69494356235	0	2.17355238682	38.77439508417743	10.36573010527064	0.0
54.3	7.69308187332	0	2.18129562608	53.625476220978435	10.241783075643845	0.0
54.35	7.68964372286	0	2.1876992989	69.07233070622463	10.025302361890208	0.0
54.4	7.68503814629	0	2.19230015742	84.94929430683817	9.730759772201521	0.0
54.45	7.67962204927	0	2.1947099969	101.10937479066176	9.375120732630483	0.0
54.5	7.67386903267	0	2.19466720397	117.36321719694956	8.979693421331831	0.0
54.55	7.66840330296	0	2.19211240603	133.46400685591487	8.570083786879447	0.0
54.6	7.66382535189	0	2.18722561148	149.1735838280936	8.172104207990657	0.0
54.65	7.66043144835	0	2.18040730527	164.39338151534756	7.807312944722222	0.0
54.7	7.65816375579	0	2.17220167301	179.16662093108377	7.492092670745197	0.0
54.75	7.65679918365	0	2.16318331325	193.60861197271555	7.238676117276848	0.0
54.8	7.65613589839	0	2.15391616793	207.83384084436267	7.0554912126171345	0.0
54.85	7.65610809418	0	2.14493412367	221.88213142849347	6.948089645401478	0.0
54.9	7.6566943384	0	2.13670643194	235.76910071712754	6.917884102330128	0.0
54.95	7.65782346402	0	2.12961462544	249.53796873990342	6.961478310723662	0.0
55	7.65937581828	0	2.12394982891	263.2384306216239	7.0718178564148655	0.0
55.05	7.66124444349	0	2.11992532634	276.90122086063	7.239486268917331	0.0
55.1	7.66336027333	0	2.11766416233	290.5373159967226	7.4527157443837115	0.0
55.15	7.6657222151	0	2.11718877713	304.1267778578002	7.698459739509004	0.0
55.2	7.66834121442	0	2.1184238221	317.64911797215507	7.962392671704116	0.0
55.25	7.6711936544	0	2.1212266348	331.09314341445383	8.228996885794311	0.0
55.3	7.67422288493	0	2.12541180104	344.4690884983536	8.483122656382934	0.0
55.35	7.67736689796	0	2.13074663045	357.7890334975196	8.712167436326483	0.0
55.4	7.68057057628	0	2.13695149957	11.061317784790512	8.907007083193772	0.0
55.45	7.68375957411	0	2.1437144576	24.304539709873502	9.06072789029654	0.0
55.5	7.68678829218	0	2.15071145837	37.5752544547469	9.167022973074609	0.0
55.55	7.68950643157	0	2.15761677263	50.927625901894174	9.221935207754179	0.0
55.6	7.6918433061	0	2.16411246464	64.38231798189392	9.225590165168875	0.0
55.65	7.69379141313	0	2.16990088541	77.94094335527814	9.18119516329735	0.0
55.7	7.69538685534	0	2.17472068137	91.58942645082038	9.094061358434743	0.0
55.75	7.6966855788	0	2.17836073535	105.31093149557614	8.970853790520943	0.0
55.8	7.69775479779	0	2.18066364991	119.08222610519522	8.819101914978514	0.0
55.85	7.69869501987	0	2.18153807993	132.8691552370506	8.647467484976598	0.0
55.9	7.69958562308	0	2.18096304677	146.64801403891877	8.464465904343658	0.0
55.95	7.70047291332	0	2.17899121511	160.4113925874369	8.278395953510843	0.0
56	7.70137508567	0	2.17574424345	174.15457652627913	8.097418936387209	0.0
