#Time	TranslateX	TranslateY	TranslateZ	RotateX	RotateY	RotateZ
54	7.69104106514	0	-0.0387529473175	0.0	3.517544289760246	0.0
54.05	7.68665322095	0	-0.0314689459051	0.0	3.852276057857365	0.0
54.1	7.6831728554	0	-0.0232162842238	0.0	4.1210161431801975	0.0
54.15	7.68088254673	0	-0.0143984380788	0.0	4.303804308224051	0.0
54.2	7.68005879643	0	-0.00546809826212	0.0	4.38725904596835	0.0
54.25	7.6809603815	0	0.00309196893804	0.0	4.36573010527064	0.0
54.3	7.68375850202	0	0.0107881933135	0.0	4.241783075643845	0.0
54.35	7.68849475413	0	0.0171406079937	0.0	4.025302361890208	0.0
54.4	7.69502814526	0	0.0217243392647	0.0	3.730759772201521	0.0
54.45	7.70307315872	0	0.0241915950934	0.0	3.3751207326304833	0.0
54.5	7.71229876205	0	0.0243126952334	0.0	2.97969342133183	0.0
54.55	7.7223599219	0	0.0220397318707	0.0	2.5700837868794473	0.0
54.6	7.73287584243	0	0.0175375237516	0.0	2.172104207990657	0.0
54.65	7.74331735727	0	0.0111700503187	0.0	1.8073129447222223	0.0
54.7	7.75300257158	0	0.00343163435331	0.0	1.492092670745197	0.0
54.75	7.76124426737	0	-0.00515634278566	0.0	1.2386761172768472	0.0
54.8	7.76752540603	0	-0.0140777900636	0.0	1.055491212617134	0.0
54.85	7.77157349955	0	-0.0228364519895	0.0	0.9480896454014787	0.0
54.9	7.77331429074	0	-0.030983678986	0.0	0.9178841023301285	0.0
54.95	7.77280380464	0	-0.0381376276947	0.0	0.9614783107236623	0.0
55	7.77018897056	0	-0.0439887786427	0.0	1.071817856414866	0.0
55.05	7.76571851264	0	-0.0482938028532	0.0	1.2394862689173316	0.0
55.1	7.75976954248	0	-0.0508927643539	0.0	1.452715744383711	0.0
55.15	7.75283480156	0	-0.0517262729364	0.0	1.6984597395090042	0.0
55.2	7.74546683016	0	-0.0508363736544	0.0	1.9623926717041158	0.0
55.25	7.73822857814	0	-0.0483390672856	0.0	2.228996885794311	0.0
55.3	7.73163700744	0	-0.0444041884276	0.0	2.483122656382934	0.0
55.35	7.72610791131	0	-0.039261007664	0.0	2.712167436326483	0.0
55.4	7.72193221098	0	-0.0331948319584	0.0	2.907007083193772	0.0
55.45	7.71929680507	0	-0.0265269916011	0.0	3.0607278902965414	0.0
55.5	7.71829405885	0	-0.0195907113238	0.0	3.167022973074608	0.0
55.55	7.71892479351	0	-0.0127196679755	0.0	3.2219352077541785	0.0
55.6	7.72111537962	0	-0.00623715996602	0.0	3.2255901651688754	0.0
55.65	7.72473770181	0	-0.000442406559813	0.0	3.1811951632973496	0.0
55.7	7.72962737648	0	0.00440520864828	0.0	3.094061358434743	0.0
55.75	7.73558784908	0	0.00809845551861	0.0	2.9708537905209425	0.0
55.8	7.74240154519	0	0.0104840417035	0.0	2.8191019149785146	0.0
55.85	7.74984099133	0	0.0114728686871	0.0	2.647467484976599	0.0
55.9	7.75766205356	0	0.0110435231966	0.0	2.464465904343659	0.0
55.95	7.76559595753	0	0.00924477305619	0.0	2.2783959535108433	0.0
56	7.77335149844	0	0.00619041577566	0.0	2.0974189363872084	0.0
