"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,0,-0.0028347,0.00010481,0.0013954,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.00052392,-2.6379e-06,3.1721e-05,0,13.846,-7.6558,-2.8125
1,0,0,-0,7.6862e-07,-4.3088e-05,4.8499e-06,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.017949,1.5494e-05,-0.00022077,0,3.5496,7.6557,-2.8125
-0,0.99796,0.0012815,-0.0011306,0.99796,-0.0011306,0.0012815,0.99796,0.07976,7.6568,3.09
-0,0.99985,0.00027448,2.3087e-06,0.99985,2.3087e-06,0.00027448,0.99985,0.079729,-2.3031,5.093
-0,1.0001,-0.00079281,0.00082719,1.0001,0.00082719,-0.00079281,1.0001,9.4501,-7.6565,5.0928
-4.6438e-40,1.0031,-0.081645,0.00039971,1.0031,0.00039971,-0.081645,1.0064,14.92,1.6,5.093
-0,0.99958,-0.0019813,0.00017717,0.99958,0.00017717,-0.0019813,0.99959,6.75,7.6565,5.0928
-0,1.0167,-0.0010553,0.00054612,1.0167,0.00054612,-0.0010553,1.0167,8.05,7.4682,5.0924
-0,1.0145,0.00016191,-0.00014872,1.0145,-0.00014872,0.00016191,1.0145,7.15,7.2758,5.0922
-0,1.0193,-0.0011643,3.3689e-05,1.0193,3.3689e-05,-0.0011643,1.0193,7.65,7.0784,5.0919
-0,1.0225,-0.0011048,0.00027294,1.0225,0.00027294,-0.0011048,1.0225,7.55,6.8766,5.0918
-0,1.0229,0.00054081,0.0016055,1.0229,0.0016055,0.00054081,1.0229,7.25,6.6719,5.0917
-0,1.0291,-0.0015291,0.0010412,1.0291,0.0010412,-0.0015291,1.0291,7.95,6.4662,5.0916
-0,1.021,-0.00096004,0.0015036,1.021,0.0015036,-0.00096004,1.021,6.85,6.2608,5.0916
-0,1.0312,-0.00014229,0.0020855,1.0312,0.0020855,-0.00014229,1.0312,8.35,6.0566,5.0915
-0,1.0187,0.00097102,0.0030454,1.0187,0.0030454,0.00097102,1.0188,6.45,5.8537,5.0915
-0,1.0292,-0.000789,0.0017764,1.0292,0.0017764,-0.000789,1.0292,8.75,5.6519,5.0914
-0,1.0135,-0.001576,0.0027633,1.0135,0.0027633,-0.001576,1.0136,6.05,5.4509,5.0914
-0,1.0264,-0.0018598,0.0017173,1.0264,0.0017173,-0.0018598,1.0264,9.15,5.2504,5.0914
-0,1.012,-0.0022649,0.0036989,1.012,0.0036989,-0.0022649,1.012,5.65,5.0502,5.0914
-0,1.023,-0.0014141,0.0017415,1.023,0.0017415,-0.0014141,1.023,9.5502,4.8502,5.0914
-0,1.0082,0.00015123,0.0035555,1.0082,0.0035555,0.00015123,1.0082,5.2479,4.6508,5.0915
-0,1.0195,-0.0019525,0.0012398,1.0195,0.0012398,-0.0019525,1.0195,9.9628,4.4533,5.0917
-0,1.0071,-0.0019153,0.0036375,1.0071,0.0036375,-0.0019153,1.0071,4.7979,4.2617,5.0915
-0,1.0156,-0.0022714,0.00066662,1.0156,0.00066662,-0.0022714,1.0156,10.499,4.0819,5.091
-0,1.0045,0.00075766,0.0036365,1.0045,0.0036365,0.00075766,1.0045,4.1412,3.9174,5.0911
-0,1.0131,-0.001458,0.00027224,1.0131,0.00027224,-0.001458,1.0131,11.251,3.7692,5.0916
-0,1.0039,0.00061051,0.0021334,1.0039,0.0021334,0.00061051,1.0039,3.35,3.637,5.0918
-0,1.015,-0.0012528,4.0024e-05,1.015,4.0024e-05,-0.0012528,1.015,12.05,3.518,5.0919
-0,1.0025,-0.0013866,0.0024738,1.0025,0.0024738,-0.0013866,1.0025,2.55,3.4079,5.0917
-0,1.0164,-0.0019574,-0.00011933,1.0164,-0.00011933,-0.0019574,1.0164,12.85,3.3031,5.0916
-0,1.0011,-0.00025624,0.0010943,1.0011,0.0010943,-0.00025624,1.0011,1.7494,3.2011,5.0915
-0,1.0097,-0.0096924,0.00050431,1.0097,0.00050431,-0.0096924,1.0097,13.65,3.1003,5.0914
-0,1.0002,0.00028483,0.00081526,1.0002,0.00081526,0.00028483,1.0002,0.95676,3.0001,5.0914
-0,1.0056,-0.042127,0.00040107,1.0056,0.00040107,-0.042127,1.0065,14.416,2.9,5.0919
-0,1.0008,-0.0010683,0.00021401,1.0008,0.00021401,-0.0010683,1.0008,0.24128,2.8,5.0927
-0,1.0055,-0.050204,0.00032614,1.0055,0.00032614,-0.050204,1.0067,14.591,2.8,5.0923
-0,1.0003,0.00093024,0.0006642,1.0003,0.0006642,0.00093024,1.0003,0.7667,2.7,5.0916
-0,1.0069,-0.029025,0.00054914,1.0069,0.00054914,-0.029025,1.0073,13.848,2.6,5.0914
-0,1.0009,0.00028257,0.000844,1.0009,0.000844,0.00028257,1.0009,1.5493,2.5,5.0914
-0,1.0131,-0.0081606,0.00032889,1.0131,0.00032889,-0.0081606,1.0131,13.05,2.4,5.0914
-0,1.0014,-0.0012521,0.0024324,1.0014,0.0024324,-0.0012521,1.0014,2.3499,2.3,5.0914
-0,1.0194,-0.002584,-0.00062669,1.0194,-0.00062669,-0.002584,1.0194,12.25,2.2,5.0914
-0,1.0022,-0.00025046,0.0017131,1.0022,0.0017131,-0.00025046,1.0022,3.15,2.1,5.0914
-0,1.0211,-0.0012122,-0.0017811,1.0211,-0.0017811,-0.0012122,1.0211,11.45,2,5.0914
-0,1.0027,-0.00066574,0.0021753,1.0027,0.0021753,-0.00066574,1.0027,3.9482,1.9,5.0913
-0,1.0235,-0.0024062,-0.0032437,1.0235,-0.0032437,-0.0024062,1.0235,10.667,1.8,5.0912
-0,1.0029,-0.001335,0.0033471,1.0029,0.0033471,-0.001335,1.0029,4.667,1.7,5.0914
-0,1.0293,-0.0036103,-0.0048252,1.0293,-0.0048252,-0.0036103,1.0293,10.07,1.6,5.0917
-0,1.0038,-0.0017749,0.0055175,1.0038,0.0055175,-0.0017749,1.0038,5.1469,1.5,5.0916
-0,1.0381,-0.0050853,-0.0052683,1.0381,-0.0052683,-0.0050853,1.0381,9.6503,1.4,5.0915
-0,1.0059,-0.0016464,0.0062227,1.0059,0.0062227,-0.0016464,1.0059,5.55,1.3,5.0914
-0,1.0504,-0.0074696,-0.0037564,1.0504,-0.0037564,-0.0074696,1.0505,9.25,1.2,5.0914
-0,1.0093,-0.0015367,0.007106,1.0093,0.007106,-0.0015367,1.0093,5.95,1.1,5.0914
-0,1.063,-0.0081732,-0.00020463,1.063,-0.00020463,-0.0081732,1.063,8.85,1,5.0914
-0,1.0167,-0.00059584,0.0086018,1.0167,0.0086018,-0.00059584,1.0167,6.35,0.9,5.0914
-0,1.0695,-0.0084118,0.0034338,1.0695,0.0034338,-0.0084118,1.0696,8.45,0.8,5.0914
-0,1.0264,-0.0014116,0.0075765,1.0264,0.0075765,-0.0014116,1.0264,6.75,0.7,5.0914
-0,1.0654,-0.0057026,0.0057952,1.0654,0.0057952,-0.0057026,1.0655,8.05,0.6,5.0914
0,1.0376,0.00045017,0.007296,1.0376,0.007296,0.00045017,1.0376,7.15,0.5,5.0914
0,1.0569,-0.0015549,0.0054934,1.0569,0.0054934,-0.0015549,1.0569,7.65,0.4,5.0914
0,1.0527,-0.0026488,0.0045857,1.0527,0.0045857,-0.0026488,1.0527,7.55,0.3,5.0914
0,1.0421,-0.0012377,0.003523,1.0421,0.003523,-0.0012377,1.0421,7.25,0.2,5.0914
-0,1.0652,-0.0041004,0.0027642,1.0652,0.0027642,-0.0041004,1.0652,7.95,0.1,5.0914
-0,1.0281,-0.0017899,0.00010058,1.0281,0.00010058,-0.0017899,1.0281,6.85,-6.2864e-08,5.0914
-0,1.0725,-0.0084737,0.00053783,1.0725,0.00053783,-0.0084737,1.0725,8.35,-0.1,5.0914
-0,1.0155,-0.0020665,-0.0021562,1.0155,-0.0021562,-0.0020665,1.0155,6.45,-0.2,5.0914
-0,1.0687,-0.011588,-0.00043315,1.0687,-0.00043315,-0.011588,1.0687,8.75,-0.3,5.0914
-0,1.0076,-0.0014289,-0.0034493,1.0076,-0.0034493,-0.0014289,1.0076,6.05,-0.4,5.0914
-0,1.0548,-0.022522,-0.00077935,1.0548,-0.00077935,-0.022522,1.055,9.15,-0.5,5.0914
-0,1.0041,-0.0001512,-0.0033533,1.0041,-0.0033533,-0.0001512,1.0041,5.65,-0.6,5.0914
-0,1.0423,-0.031169,-0.00029651,1.0423,-0.00029651,-0.031169,1.0428,9.5501,-0.7,5.0914
-0,1.0027,-0.0020099,-0.0039905,1.0027,-0.0039905,-0.0020099,1.0027,5.249,-0.8,5.0915
-0,1.0324,-0.032623,4.9375e-05,1.0324,4.9375e-05,-0.032623,1.0329,9.9584,-0.9,5.0917
-0,1.0023,-0.00055486,-0.0029524,1.0023,-0.0029524,-0.00055486,1.0023,4.8065,-1,5.0916
-0,1.0221,-0.031031,0.00018363,1.0221,0.00018363,-0.031031,1.0226,10.491,-1.1,5.0913
-0,1.0021,-0.00062982,-0.00226,1.0021,-0.00226,-0.00062982,1.0021,4.1439,-1.2,5.0913
-0,1.0121,-0.030019,-1.58e-05,1.0121,-1.58e-05,-0.030019,1.0125,11.25,-1.3,5.0914
-0,1.002,0.0018481,-0.0019541,1.002,-0.0019541,0.0018481,1.002,3.35,-1.4,5.0914
-0,1.0069,-0.033133,-0.00015255,1.0069,-0.00015255,-0.033133,1.0074,12.05,-1.5,5.0914
