"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,0,-0.0017351,9.1544e-05,0.0009747,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0003172,-2.0512e-06,2.8858e-05,0,13.846,-7.6558,-2.8125
1,0,-0,-0,2.311e-07,-3.9681e-05,-3.0798e-06,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.010042,2.6618e-07,-0.00019482,0,3.5496,7.6557,-2.8125
-0,0.99808,0.0036209,-0.00097932,0.99808,-0.00097932,0.0036209,0.99809,0.07976,7.6568,3.09
-0,0.99972,0.0019501,-0.00015088,0.99972,-0.00015088,0.0019501,0.99973,0.079729,-2.3031,5.093
-0,1.001,0.0007726,0.00024898,1.001,0.00024898,0.0007726,1.001,9.4501,-7.6565,5.0928
-1.2742e-36,1.0027,-0.085166,-0.0002298,1.0027,-0.0002298,-0.085166,1.0063,14.92,1.6,5.093
-0,1.0058,-0.0020766,5.3657e-05,1.0058,5.3657e-05,-0.0020766,1.0058,6.75,7.6565,5.0928
-0,1.0183,-0.0017297,-0.00041858,1.0183,-0.00041858,-0.0017297,1.0183,8.05,7.4682,5.0924
-0,1.0187,-0.001622,0.00033305,1.0187,0.00033305,-0.001622,1.0187,7.15,7.2758,5.0922
-0,1.0232,0.00013679,0.00035002,1.0232,0.00035002,0.00013679,1.0232,7.65,7.0784,5.0919
-0,1.0265,-0.00080304,8.0344e-05,1.0265,8.0344e-05,-0.00080304,1.0265,7.55,6.8766,5.0918
-0,1.0286,0.00040994,0.00052613,1.0286,0.00052613,0.00040994,1.0286,7.25,6.6719,5.0917
-0,1.0325,-0.0013734,0.0010804,1.0325,0.0010804,-0.0013734,1.0325,7.95,6.4662,5.0916
-0,1.0276,0.0012207,0.0016261,1.0276,0.0016261,0.0012207,1.0276,6.85,6.2608,5.0916
-0,1.0315,-0.00067577,0.00086783,1.0315,0.00086783,-0.00067577,1.0315,8.35,6.0566,5.0915
-0,1.0247,-0.0019532,0.0030923,1.0247,0.0030923,-0.0019532,1.0247,6.45,5.8537,5.0915
-0,1.0304,-0.00018211,0.0011416,1.0304,0.0011416,-0.00018211,1.0304,8.75,5.6519,5.0914
-0,1.0201,-0.001272,0.00371,1.0201,0.00371,-0.001272,1.0201,6.05,5.4509,5.0914
-0,1.0272,-0.0024811,0.0015872,1.0272,0.0015872,-0.0024811,1.0272,9.15,5.2504,5.0914
-0,1.0164,0.0002636,0.0040003,1.0164,0.0040003,0.0002636,1.0165,5.65,5.0502,5.0914
-0,1.0247,-0.00013692,0.00091791,1.0247,0.00091791,-0.00013692,1.0247,9.5502,4.8502,5.0914
-0,1.0128,0.0021441,0.0042351,1.0128,0.0042351,0.0021441,1.0129,5.2479,4.6508,5.0915
-0,1.0201,-0.0014675,0.0009586,1.0201,0.0009586,-0.0014675,1.0201,9.9628,4.4533,5.0917
