"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,-0,-0.0031642,-1.2083e-05,0.001369,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0043908,-4.6141e-06,0.00017742,0,13.846,-7.6558,-2.8125
1,0,0,-0,5.2067e-07,-0.00014037,0.00015937,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.0074858,9.3581e-06,-0.00023633,0,3.5496,7.6557,-2.8125
-0,0.99793,0.00042743,-0.0011505,0.99793,-0.0011505,0.00042743,0.99793,0.07976,7.6568,3.09
-0,1.0006,-0.0023652,-0.00093981,1.0006,-0.00093981,-0.0023652,1.0006,0.079729,-2.3031,5.093
-0,0.97865,-0.014364,-0.00054234,0.97865,-0.00054234,-0.014364,0.97876,9.4501,-7.6565,5.0928
-4.9488e-35,1.0025,-0.060679,0.00086994,1.0025,0.00086994,-0.060679,1.0044,14.92,1.6,5.093
-0,0.97939,-0.0024068,-5.9782e-05,0.97939,-5.9782e-05,-0.0024068,0.97939,6.75,7.6565,5.0928
-0,1.0006,-0.0017766,0.00097994,1.0006,0.00097994,-0.0017766,1.0006,8.05,7.4682,5.0924
-0,1.0013,-0.0011886,0.00089623,1.0013,0.00089623,-0.0011886,1.0013,7.15,7.2758,5.0922
-0,1.0019,-0.0020662,0.0010344,1.0019,0.0010344,-0.0020662,1.0019,7.65,7.0784,5.0919
-0,1.0019,-0.0015977,0.0010619,1.0019,0.0010619,-0.0015977,1.0019,7.55,6.8766,5.0918
-0,1.0015,-0.0011731,0.0010601,1.0015,0.0010601,-0.0011731,1.0015,7.25,6.6719,5.0917
-0,1.0025,-0.0016248,0.001021,1.0025,0.001021,-0.0016248,1.0025,7.95,6.4662,5.0916
-0,1.0011,-0.0006063,0.0011274,1.0011,0.0011274,-0.0006063,1.0011,6.85,6.2608,5.0916
-0,1.0035,-0.0018664,0.00090755,1.0035,0.00090755,-0.0018664,1.0035,8.35,6.0566,5.0915
-0,1.0016,-0.0012665,0.0015202,1.0016,0.0015202,-0.0012665,1.0016,6.45,5.8537,5.0915
-0,1.0046,-0.0011316,0.00068542,1.0046,0.00068542,-0.0011316,1.0046,8.75,5.6519,5.0914
-0,1.002,-0.0016908,0.0019997,1.002,0.0019997,-0.0016908,1.002,6.05,5.4509,5.0914
-0,1.0064,-0.0018181,0.00083046,1.0064,0.00083046,-0.0018181,1.0064,9.15,5.2504,5.0914
-0,1.0024,-0.00027064,0.0021573,1.0024,0.0021573,-0.00027064,1.0024,5.65,5.0502,5.0914
-0,1.009,-0.0026648,0.0012377,1.009,0.0012377,-0.0026648,1.009,9.5502,4.8502,5.0914
-0,1.0034,-0.00018417,0.0025118,1.0034,0.0025118,-0.00018417,1.0034,5.2479,4.6508,5.0915
-0,1.0111,-0.010983,0.0016289,1.0111,0.0016289,-0.010983,1.0112,9.9628,4.4533,5.0917
-0,1.0045,-0.0014902,0.0026523,1.0045,0.0026523,-0.0014902,1.0045,4.7979,4.2617,5.0915
-0,1.0163,-0.021489,0.0020791,1.0163,0.0020791,-0.021489,1.0165,10.499,4.0819,5.091
-0,1.009,-0.0022319,0.0043499,1.009,0.0043499,-0.0022319,1.009,4.1412,3.9174,5.0911
-0,1.0199,-0.033421,0.0017893,1.0199,0.0017893,-0.033421,1.0205,11.251,3.7692,5.0916
-0,1.0102,-0.0024088,0.0026458,1.0102,0.0026458,-0.0024088,1.0102,3.35,3.637,5.0918
-0,1.0174,-0.042728,0.0011824,1.0174,0.0011824,-0.042728,1.0183,12.05,3.518,5.0919
-0,1.0051,-0.0027835,0.0011289,1.0051,0.0011289,-0.0027835,1.0051,2.55,3.4079,5.0917
-0,1.0125,-0.04871,0.00080749,1.0125,0.00080749,-0.04871,1.0137,12.85,3.3031,5.0916
-0,1.0021,-0.0021239,0.00068072,1.0021,0.00068072,-0.0021239,1.0021,1.7494,3.2011,5.0915
-0,1.0081,-0.053689,0.00066251,1.0081,0.00066251,-0.053689,1.0096,13.65,3.1003,5.0914
-0,1.0001,-0.0013328,0.00043537,1.0001,0.00043537,-0.0013328,1.0002,0.95676,3.0001,5.0914
-0,1.0055,-0.05889,0.00065013,1.0055,0.00065013,-0.05889,1.0072,14.416,2.9,5.0919
-0,1.0001,-0.0020586,0.0012445,1.0001,0.0012445,-0.0020586,1.0001,0.24128,2.8,5.0927
-0,1.005,-0.059989,0.00066476,1.005,0.00066476,-0.059989,1.0068,14.591,2.8,5.0923
-0,1.0007,-0.00068848,0.00062759,1.0007,0.00062759,-0.00068848,1.0007,0.7667,2.7,5.0916
-0,1.0061,-0.055034,0.00070949,1.0061,0.00070949,-0.055034,1.0076,13.848,2.6,5.0914
-0,1.001,4.1158e-05,0.00097764,1.001,0.00097764,4.1158e-05,1.001,1.5493,2.5,5.0914
-0,1.008,-0.052772,0.00062396,1.008,0.00062396,-0.052772,1.0094,13.05,2.4,5.0914
-0,1.0035,-0.0027154,0.0011774,1.0035,0.0011774,-0.0027154,1.0035,2.3499,2.3,5.0914
-0,1.0109,-0.054254,0.0001865,1.0109,0.0001865,-0.054254,1.0124,12.25,2.2,5.0914
-0,1.0062,-0.00055791,0.0017453,1.0062,0.0017453,-0.00055791,1.0062,3.15,2.1,5.0914
-0,1.0146,-0.059125,-0.00046102,1.0146,-0.00046102,-0.059125,1.0163,11.45,2,5.0914
-0,1.0042,-0.0025346,0.0025717,1.0042,0.0025717,-0.0025346,1.0042,3.9482,1.9,5.0913
-0,1.0173,-0.064072,-0.0003418,1.0173,-0.0003418,-0.064072,1.0194,10.667,1.8,5.0912
-0,1.0013,-0.0012914,0.0030197,1.0013,0.0030197,-0.0012914,1.0013,4.667,1.7,5.0914
-0,1.0167,-0.06511,0.00090137,1.0167,0.00090137,-0.06511,1.0188,10.07,1.6,5.0917
-0,1.0003,0.00050714,0.0035207,1.0003,0.0035207,0.00050714,1.0003,5.1469,1.5,5.0916
-0,1.0163,-0.061106,0.0020718,1.0163,0.0020718,-0.061106,1.0181,9.6503,1.4,5.0915
-0,0.99863,-0.0013478,0.0041904,0.99863,0.0041904,-0.0013478,0.99864,5.55,1.3,5.0914
-0,1.0168,-0.047992,0.0030588,1.0168,0.0030588,-0.047992,1.018,9.25,1.2,5.0914
-0,0.9985,-0.00035713,0.0051854,0.9985,0.0051854,-0.00035713,0.99851,5.95,1.1,5.0914
-0,1.0202,-0.025661,0.0040568,1.0202,0.0040568,-0.025661,1.0206,8.85,1,5.0914
-0,0.99982,-0.00091697,0.0052196,0.99982,0.0052196,-0.00091697,0.99983,6.35,0.9,5.0914
-0,1.0279,-0.0071436,0.0051501,1.0279,0.0051501,-0.0071436,1.0279,8.45,0.8,5.0914
-0,1.0033,-0.0023484,0.0052713,1.0033,0.0052713,-0.0023484,1.0033,6.75,0.7,5.0914
-0,1.0295,-0.0033552,0.0054589,1.0295,0.0054589,-0.0033552,1.0295,8.05,0.6,5.0914
-0,1.0098,-0.001965,0.0045309,1.0098,0.0045309,-0.001965,1.0098,7.15,0.5,5.0914
-0,1.0231,-0.0009841,0.0044378,1.0231,0.0044378,-0.0009841,1.0231,7.65,0.4,5.0914
-0,1.0204,7.1589e-07,0.0038998,1.0204,0.0038998,7.1589e-07,1.0204,7.55,0.3,5.0914
-0,1.012,-0.0028051,0.0018103,1.012,0.0018103,-0.0028051,1.0121,7.25,0.2,5.0914
-0,1.0301,-0.0007209,0.0018013,1.0301,0.0018013,-0.0007209,1.0301,7.95,0.1,5.0914
-0,1.0045,-0.0014203,-0.00014688,1.0045,-0.00014688,-0.0014203,1.0045,6.85,-6.2864e-08,5.0914
-0,1.031,-0.0048806,-0.00013997,1.031,-0.00013997,-0.0048806,1.031,8.35,-0.1,5.0914
-0,1.0003,0.0002127,-0.0016812,1.0003,-0.0016812,0.0002127,1.0003,6.45,-0.2,5.0914
-0,1.0228,-0.022749,-0.0013068,1.0228,-0.0013068,-0.022749,1.023,8.75,-0.3,5.0914
-0,0.99791,-0.00038073,-0.0031217,0.99791,-0.0031217,-0.00038073,0.99792,6.05,-0.4,5.0914
-0,1.0167,-0.05535,-0.0016091,1.0167,-0.0016091,-0.05535,1.0182,9.15,-0.5,5.0914
-0,0.99712,-0.0025571,-0.0033861,0.99712,-0.0033861,-0.0025571,0.99713,5.65,-0.6,5.0914
-0,1.0139,-0.082758,-0.0014525,1.0139,-0.0014525,-0.082758,1.0173,9.5501,-0.7,5.0914
-0,0.99814,-0.00029164,-0.0026863,0.99814,-0.0026863,-0.00029164,0.99815,5.249,-0.8,5.0915
-0,1.012,-0.10108,-0.00078766,1.012,-0.00078766,-0.10108,1.017,9.9584,-0.9,5.0917
-0,1,-0.0010337,-0.0026159,1,-0.0026159,-0.0010337,1,4.8065,-1,5.0916
-0,1.0103,-0.11053,0.00027511,1.0103,0.00027511,-0.11053,1.0163,10.491,-1.1,5.0913
-0,1.0025,-0.0015064,-0.0016138,1.0025,-0.0016138,-0.0015064,1.0025,4.1439,-1.2,5.0913
-0,1.009,-0.10153,0.000767,1.009,0.000767,-0.10153,1.0141,11.25,-1.3,5.0914
-0,1.0055,-0.0015757,-0.0018564,1.0055,-0.0018564,-0.0015757,1.0055,3.35,-1.4,5.0914
-0,1.007,-0.085069,0.00025143,1.007,0.00025143,-0.085069,1.0106,12.05,-1.5,5.0914
-0,1.0036,-0.0012124,-0.0015976,1.0036,-0.0015976,-0.0012124,1.0036,2.55,-1.6,5.0914
-0,1.0048,-0.072237,-0.00041417,1.0048,-0.00041417,-0.072237,1.0074,12.85,-1.7,5.0914
-0,1.0017,-0.0019855,-0.0008247,1.0017,-0.0008247,-0.0019855,1.0017,1.7494,-1.8,5.0914
-0,1.0038,-0.071088,-0.00064294,1.0038,-0.00064294,-0.071088,1.0063,13.65,-1.9,5.0914
-0,1.0003,-0.0018565,-0.00086951,1.0003,-0.00086951,-0.0018565,1.0003,0.95676,-2.0001,5.0914
-0,1.0035,-0.079683,-0.00054906,1.0035,-0.00054906,-0.079683,1.0066,14.416,-2.1004,5.0919
-0,1.0006,-0.0024913,-0.0014233,1.0006,-0.0014233,-0.0024913,1.0006,0.24129,-2.2015,5.0927
-0,1.0035,-0.082702,-0.00047921,1.0035,-0.00047921,-0.082702,1.0069,14.591,-2.2015,5.0924
-0,1.0003,-0.00034427,-0.00065388,1.0003,-0.00065388,-0.00034427,1.0003,0.76687,-2.3032,5.0918
-0,1.0042,-0.073495,-0.00045292,1.0042,-0.00045292,-0.073495,1.0069,13.848,-2.4079,5.0917
-0,1.0011,-0.00095832,-0.0013898,1.0011,-0.0013898,-0.00095832,1.0011,1.5494,-2.518,5.0919
-0,1.0063,-0.068976,-0.00032437,1.0063,-0.00032437,-0.068976,1.0086,13.05,-2.637,5.0918
-0,1.0039,-0.00033439,-0.002385,1.0039,-0.002385,-0.00033439,1.0039,2.3499,-2.7693,5.0916
-0,1.0119,-0.064321,-0.00020499,1.0119,-0.00020499,-0.064321,1.0139,12.25,-2.9184,5.0913
-0,1.0082,-1.0006e-05,-0.0025767,1.0082,-0.0025767,-1.0006e-05,1.0082,3.15,-3.0847,5.0911
-0,1.0184,-0.053603,-0.00082217,1.0184,-0.00082217,-0.053603,1.0198,11.45,-3.2655,5.0911
-0,1.0083,-0.00061202,-0.0036537,1.0083,-0.0036537,-0.00061202,1.0083,3.9462,-3.4558,5.0911
-0,1.019,-0.037051,-0.0020162,1.019,-0.0020162,-0.037051,1.0197,10.675,-3.6518,5.0911
-0,1.005,-0.0013498,-0.0033954,1.005,-0.0033954,-0.0013498,1.005,4.6562,-3.8503,5.0914
-0,1.0139,-0.022044,-0.0022361,1.0139,-0.0022361,-0.022044,1.0141,10.078,-4.0501,5.0919
-0,1.0031,-0.0012814,-0.002847,1.0031,-0.002847,-0.0012814,1.0031,5.1444,-4.25,5.0917
-0,1.0098,-0.011161,-0.0018714,1.0098,-0.0018714,-0.011161,1.0099,9.6507,-4.45,5.0915
-0,1.0026,-0.00068434,-0.0027487,1.0026,-0.0027487,-0.00068434,1.0026,5.55,-4.65,5.0914
-0,1.0072,-0.003292,-0.0014647,1.0072,-0.0014647,-0.003292,1.0072,9.25,-4.8501,5.0914
-0,1.0019,-0.0018939,-0.0024657,1.0019,-0.0024657,-0.0018939,1.0019,5.95,-5.0502,5.0914
-0,1.005,-0.0018743,-0.0011244,1.005,-0.0011244,-0.0018743,1.005,8.85,-5.2504,5.0914
-0,1.0017,-0.00060106,-0.0023002,1.0017,-0.0023002,-0.00060106,1.0017,6.35,-5.4509,5.0914
-0,1.0038,-0.0010252,-0.0012337,1.0038,-0.0012337,-0.0010252,1.0038,8.45,-5.6519,5.0914
-0,1.0014,-0.0015409,-0.0018309,1.0014,-0.0018309,-0.0015409,1.0014,6.75,-5.8537,5.0915
-0,1.0028,-0.0014286,-0.0013249,1.0028,-0.0013249,-0.0014286,1.0028,8.05,-6.0566,5.0915
-0,1.0014,-0.0017659,-0.0016052,1.0014,-0.0016052,-0.0017659,1.0014,7.15,-6.2608,5.0916
-0,1.002,-0.0011831,-0.0014553,1.002,-0.0014553,-0.0011831,1.002,7.65,-6.4662,5.0916
-0,1.0019,-0.0012305,-0.0014347,1.0019,-0.0014347,-0.0012305,1.0019,7.55,-6.6719,5.0917
-0,1.0017,-0.0015518,-0.0013416,1.0017,-0.0013416,-0.0015518,1.0017,7.25,-6.8766,5.0918
-0,1.0018,-0.0019637,-0.00095749,1.0018,-0.00095749,-0.0019637,1.0018,7.95,-7.0784,5.0919
-0,1.0019,-0.0022489,-0.0012988,1.0019,-0.0012988,-0.0022489,1.0019,6.85,-7.2758,5.0922
-0,0.99915,-0.0061028,-0.00014072,0.99915,-0.00014072,-0.0061028,0.99917,8.35,-7.4682,5.0924
-2.937e-38,1.0002,0.00023333,0.0015062,1.0002,0.0015062,0.00023333,1.0002,0.078696,-7.4679,1.0955
1,-0,0,-0,-0.0015891,-0.00012188,0.00067924,0,0.079734,-0.9,-2.813
1,-0,-0,-0,-0.0070129,-0.0021049,-0.018879,0,0.023643,7.6833,-0.17542
1,-0,-0,-0,-0.0055515,-0.0015888,-0.012374,0,0.02848,7.4926,-0.26418
1,-0,-0,-0,-0.0052446,-0.00047252,-0.010274,0,0.025284,7.2308,-0.23169
1,-0,-0,-0,-0.0068363,-0.00093492,-0.015527,0,0.024225,7.2763,-0.072902
0.99998,-0,-0,-0,-0.0055988,-0.00081831,-0.019733,0,0.024286,7.025,-0.022543
-0,1.0056,0.032022,0.0026736,1.0056,0.0026736,0.032022,1.0061,0.02879,7.0286,0.24049
-0,1.1115,0.12587,0.0050391,1.1115,0.0050391,0.12587,1.1186,0.024269,6.675,0.078011
1,-0,-0,-0,-0.0052631,-0.00037484,-0.0090044,0,0.028857,6.3752,-0.2592
-7.3459e-37,1.0003,0.00047148,-0.0013163,1.0003,-0.0013163,0.00047148,1.0003,0.078365,7.4676,0.90379
-3.8197e-33,1.0005,0.0019368,-0.00047345,1.0005,-0.00047345,0.0019368,1.0005,0.23564,7.2703,1.1921
-0,0.9787,-0.0050383,0.070937,0.9787,0.070937,-0.0050383,0.98129,0.070429,7.7264,0.027364
1,0,-0,-0,0.0015154,-2.3616e-05,-0.00028935,0,8.45,7.6553,-2.7179
0.0002747,1.0572,-0.15564,0.022285,1.0572,0.022285,-0.15564,1.0689,14.922,7.6568,0.81561
3.8757e-11,0.72759,-0.04167,-0.029495,0.72759,-0.029495,-0.04167,0.72938,13.7,7.6938,0.46394
0.00023056,1.6542,-0.39702,0.0074595,1.6542,0.0074595,-0.39702,1.7012,6.975,7.6938,0.45478
-0,1.0604,0.075238,0.021492,1.0604,0.021492,0.075238,1.0633,0.11873,7.7269,0.15298
1,0,-0,-0,0.00073109,-2.2177e-05,-0.00035425,0,7.95,7.6545,-2.6214
-5.128e-33,0.7536,-0.12434,-0.0041851,0.7536,-0.0041851,-0.12434,0.7638,14.627,7.7224,0.24857
1.9756e-05,1.218,-0.0034367,-0.023287,1.218,-0.023287,-0.0034367,1.2182,9.9375,7.7221,0.24313
0.0001284,2.1709,0.085392,-0.12,2.1709,-0.12,0.085392,2.1759,7.4375,7.7221,0.24313
2.0728e-07,0.77856,-0.23008,-0.053677,0.77856,-0.053677,-0.23008,0.81362,4.9373,7.7221,0.24321
-0,1.0637,0.053762,-0.00069109,1.0637,-0.00069109,0.053762,1.065,0.21918,7.7287,0.20302
1,0,-0,-0,0.00057754,-2.1594e-05,-0.00046116,0,7.85,7.6539,-2.5228
-2.7708e-38,1.0257,-0.071061,0.0022507,1.0257,0.0022507,-0.071061,1.0281,14.832,7.7261,0.10206
-5.1153e-37,0.92767,-0.086571,0.0059747,0.92767,0.0059747,-0.086571,0.93172,14.731,7.7263,0.15164
2.0994e-28,0.86256,-0.0387,0.008244,0.86256,0.008244,-0.0387,0.86347,14.679,7.7258,0.076977
1,0,0,-0,0.00064479,-0.0010315,0.02568,0,14.425,7.7257,-0.072147
1,0,0,0,0.0048073,0.00046956,0.018035,0,14.025,7.7222,-0.2674
1,0,0,-0,0.0070163,-0.000454,0.031626,0,13.975,7.7257,-0.04731
1,0,0,0,0.0066106,3.4703e-06,0.0013561,0,13.251,7.6534,-2.4215
1,0,0,0,0.012804,0.0003291,0.023447,0,13.625,7.7257,-0.096911
-4.9998e-35,0.92805,-0.026869,0.0035722,0.92805,0.0035722,-0.026869,0.92844,14.401,7.6149,0.2207
-2.979e-39,1.0074,-0.070675,-0.0039899,1.0074,-0.0039899,-0.070675,1.0099,14.975,3.7545,0.20833
-2.5738e-41,1.0088,-0.073595,-0.00016626,1.0088,-0.00016626,-0.073595,1.0115,14.974,1.2375,0.207
-1.5414e-44,1.0082,-0.072335,-0.00087232,1.0082,-0.00087232,-0.072335,1.0108,14.974,-1.2625,0.207
-5.8307e-36,1.0075,-0.070306,0.00094858,1.0075,0.00094858,-0.070306,1.0099,14.975,-4.775,0.20985
1,0,0,-0,6.4051e-07,-2.9214e-05,0.0029099,0,14.92,-7.6568,-2.1174
-6.3058e-44,1.0115,-0.088508,-0.00066773,1.0115,-0.00066773,-0.088508,1.0154,14.975,-5.425,0.18202
0,1.0115,-0.083936,-0.0010904,1.0115,-0.0010904,-0.083936,1.015,14.975,-1.5875,0.18048
-0,1.0127,-0.089314,0.00052082,1.0127,0.00052082,-0.089314,1.0167,14.975,0.9125,0.18048
-0,1.0108,-0.079443,-0.0010268,1.0108,-0.0010268,-0.079443,1.0139,14.975,3.4125,0.18048
-2.4055e-41,1.0153,-0.10315,-0.016648,1.0153,-0.016648,-0.10315,1.0206,14.976,7.3302,0.15636
-0,1.0159,-0.095515,0.00015286,1.0159,0.00015286,-0.095515,1.0203,14.976,3.0375,0.15444
-0,1.0175,-0.11125,0.0019067,1.0175,0.0019067,-0.11125,1.0235,14.976,0.5375,0.15444
