"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,0,-0,0,0.0048627,4.9605e-05,-0.0034203,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0010881,-4.0086e-06,4.4459e-05,0,13.846,-7.6558,-2.8125
1,-0,0,-0,-4.3578e-07,-4.2069e-05,3.1106e-05,0,14.919,4.6524,-2.8126
1,-0,0,0,-0.00031631,2.6566e-05,0.00014183,0,3.5496,7.6557,-2.8125
-0,0.99734,0.057848,-0.00093976,0.99734,-0.00093976,0.057848,0.99901,0.07976,7.6568,3.09
-0,1.0015,0.048402,-0.00012547,1.0015,-0.00012547,0.048402,1.0027,0.079729,-2.3031,5.093
-0,1.011,-0.0010439,0.00028679,1.011,0.00028679,-0.0010439,1.011,9.4501,-7.6565,5.0928
-2.0944e-40,1.0039,-0.058855,8.2868e-05,1.0039,8.2868e-05,-0.058855,1.0057,14.92,1.6,5.093
-0,0.99429,0.029386,0.00023499,0.99429,0.00023499,0.029386,0.99472,6.75,7.6565,5.0928
-0,1.023,0.014309,-0.00020333,1.023,-0.00020333,0.014309,1.0231,8.05,7.4682,5.0924
-0,1.0196,0.024206,0.00023725,1.0196,0.00023725,0.024206,1.0199,7.15,7.2758,5.0922
-0,1.0274,0.018236,-5.2478e-05,1.0274,-5.2478e-05,0.018236,1.0276,7.65,7.0784,5.0919
-0,1.0298,0.0199,0.00033314,1.0298,0.00033314,0.0199,1.03,7.55,6.8766,5.0918
-0,1.029,0.022724,0.00092988,1.029,0.00092988,0.022724,1.0292,7.25,6.6719,5.0917
-0,1.0412,0.01513,0.0011362,1.0412,0.0011362,0.01513,1.0413,7.95,6.4662,5.0916
-0,1.0272,0.026664,0.0020645,1.0272,0.0020645,0.026664,1.0276,6.85,6.2608,5.0916
-0,1.0499,0.011593,0.0019744,1.0499,0.0019744,0.011593,1.0499,8.35,6.0566,5.0915
-0,1.0245,0.032563,0.0030721,1.0245,0.0030721,0.032563,1.025,6.45,5.8537,5.0915
