"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,-0,-0.0016315,-1.1354e-05,0.00077767,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0020341,-1.8323e-06,7.5579e-05,0,13.846,-7.6558,-2.8125
1,-0,0,-0,-2.4639e-06,-0.00010934,7.4836e-05,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.0014053,3.5385e-06,-0.00014071,0,3.5496,7.6557,-2.8125
-0,0.99797,0.002004,-0.0011673,0.99797,-0.0011673,0.002004,0.99798,0.07976,7.6568,3.09
-0,1.0007,-0.00019904,-0.00085048,1.0007,-0.00085048,-0.00019904,1.0007,0.079729,-2.3031,5.093
-0,0.97606,-0.0065268,-0.00060209,0.97606,-0.00060209,-0.0065268,0.97608,9.4501,-7.6565,5.0928
-6.7492e-33,1.0035,-0.048103,-5.58e-05,1.0035,-5.58e-05,-0.048103,1.0047,14.92,1.6,5.093
-0,0.99331,-8.1799e-05,-0.00045685,0.99331,-0.00045685,-8.1799e-05,0.99331,6.75,7.6565,5.0928
-0,1.0037,-0.0029834,0.001279,1.0037,0.001279,-0.0029834,1.0037,8.05,7.4682,5.0924
-0,1.0048,-0.0013946,0.00048687,1.0048,0.00048687,-0.0013946,1.0048,7.15,7.2758,5.0922
-0,1.0046,-0.0018023,0.00077952,1.0046,0.00077952,-0.0018023,1.0046,7.65,7.0784,5.0919
-0,1.0043,-0.0026129,0.0012115,1.0043,0.0012115,-0.0026129,1.0043,7.55,6.8766,5.0918
-0,1.0045,-0.002239,0.00049398,1.0045,0.00049398,-0.002239,1.0046,7.25,6.6719,5.0917
-0,1.004,-0.00030582,0.00079403,1.004,0.00079403,-0.00030582,1.004,7.95,6.4662,5.0916
-0,1.0038,-0.00088173,0.0011746,1.0038,0.0011746,-0.00088173,1.0038,6.85,6.2608,5.0916
-0,1.0042,-8.7492e-05,0.001798,1.0042,0.001798,-8.7492e-05,1.0042,8.35,6.0566,5.0915
-0,1.005,1.6303e-05,0.0021157,1.005,0.0021157,1.6303e-05,1.005,6.45,5.8537,5.0915
-0,1.0036,-0.0014895,0.0012746,1.0036,0.0012746,-0.0014895,1.0036,8.75,5.6519,5.0914
-0,1.008,-6.3771e-05,0.0028787,1.008,0.0028787,-6.3771e-05,1.008,6.05,5.4509,5.0914
-0,1.0051,-0.00021774,0.001514,1.0051,0.001514,-0.00021774,1.0051,9.15,5.2504,5.0914
-0,1.011,-0.0001678,0.0039721,1.011,0.0039721,-0.0001678,1.011,5.65,5.0502,5.0914
-0,1.006,-0.00085449,0.0021433,1.006,0.0021433,-0.00085449,1.006,9.5502,4.8502,5.0914
-0,1.0135,0.0010267,0.0052584,1.0135,0.0052584,0.0010267,1.0135,5.2479,4.6508,5.0915
-0,1.005,-0.0034422,0.0010234,1.005,0.0010234,-0.0034422,1.005,9.9628,4.4533,5.0917
-0,1.0155,-0.0015158,0.0056207,1.0155,0.0056207,-0.0015158,1.0155,4.7979,4.2617,5.0915
-0,1.0033,-0.022003,0.000756,1.0033,0.000756,-0.022003,1.0036,10.499,4.0819,5.091
-0,1.0157,-1.1712e-05,0.0049192,1.0157,0.0049192,-1.1712e-05,1.0157,4.1412,3.9174,5.0911
-0,1.0036,-0.041981,0.00059036,1.0036,0.00059036,-0.041981,1.0045,11.251,3.7692,5.0916
-0,1.0083,0.00028635,0.0030037,1.0083,0.0030037,0.00028635,1.0083,3.35,3.637,5.0918
-0,1.0045,-0.052369,0.00025818,1.0045,0.00025818,-0.052369,1.0058,12.05,3.518,5.0919
-0,1.0029,0.0011825,0.0019895,1.0029,0.0019895,0.0011825,1.0029,2.55,3.4079,5.0917
-0,1.0048,-0.054022,-7.5533e-05,1.0048,-7.5533e-05,-0.054022,1.0063,12.85,3.3031,5.0916
-0,1.0013,-0.001012,0.00054806,1.0013,0.00054806,-0.001012,1.0013,1.7494,3.2011,5.0915
-0,1.0048,-0.050274,-0.00025413,1.0048,-0.00025413,-0.050274,1.0061,13.65,3.1003,5.0914
-0,1.0006,-0.0018427,0.00089517,1.0006,0.00089517,-0.0018427,1.0006,0.95676,3.0001,5.0914
-0,1.0044,-0.044145,-0.00020205,1.0044,-0.00020205,-0.044145,1.0054,14.416,2.9,5.0919
-0,0.99975,0.00053546,0.00020757,0.99975,0.00020757,0.00053546,0.99975,0.24128,2.8,5.0927
-0,1.0042,-0.043161,-0.00017252,1.0042,-0.00017252,-0.043161,1.0052,14.591,2.8,5.0923
-0,1.0003,0.0021121,0.00061287,1.0003,0.00061287,0.0021121,1.0003,0.7667,2.7,5.0916
-0,1.0047,-0.053096,-0.00041844,1.0047,-0.00041844,-0.053096,1.0061,13.848,2.6,5.0914
-0,1.0006,5.7493e-05,0.001092,1.0006,0.001092,5.7493e-05,1.0007,1.5493,2.5,5.0914
-0,1.0051,-0.069764,-0.00068488,1.0051,-0.00068488,-0.069764,1.0075,13.05,2.4,5.0914
-0,1.0017,0.00017008,0.0015693,1.0017,0.0015693,0.00017008,1.0017,2.3499,2.3,5.0914
-0,1.0052,-0.084245,-0.00042086,1.0052,-0.00042086,-0.084245,1.0087,12.25,2.2,5.0914
-0,1.0046,-0.00072118,0.0013814,1.0046,0.0013814,-0.00072118,1.0046,3.15,2.1,5.0914
-0,1.0048,-0.079788,0.00088307,1.0048,0.00088307,-0.079788,1.0079,11.45,2,5.0914
-0,1.0083,-0.00080632,0.0039808,1.0083,0.0039808,-0.00080632,1.0083,3.9482,1.9,5.0913
-0,1.0076,-0.046215,0.0027539,1.0076,0.0027539,-0.046215,1.0086,10.667,1.8,5.0912
-0,1.007,-0.0018451,0.004972,1.007,0.004972,-0.0018451,1.007,4.667,1.7,5.0914
-0,1.0116,-0.013875,0.0055024,1.0116,0.0055024,-0.013875,1.0117,10.07,1.6,5.0917
-0,1.0047,0.0011849,0.0036743,1.0047,0.0036743,0.0011849,1.0047,5.1469,1.5,5.0916
-0,1.0156,-0.0026484,0.0076791,1.0156,0.0076791,-0.0026484,1.0156,9.6503,1.4,5.0915
-0,1.0028,-0.0016073,0.0041552,1.0028,0.0041552,-0.0016073,1.0028,5.55,1.3,5.0914
-0,1.0172,-0.0026127,0.0081118,1.0172,0.0081118,-0.0026127,1.0173,9.25,1.2,5.0914
-0,1.0013,-0.0011919,0.0031404,1.0013,0.0031404,-0.0011919,1.0013,5.95,1.1,5.0914
-0,1.0179,-0.002739,0.0069296,1.0179,0.0069296,-0.002739,1.0179,8.85,1,5.0914
-0,1.0018,-0.0015645,0.0038621,1.0018,0.0038621,-0.0015645,1.0019,6.35,0.9,5.0914
-0,1.0165,-0.0023079,0.005183,1.0165,0.005183,-0.0023079,1.0165,8.45,0.8,5.0914
-0,1.0038,-0.00082149,0.0029414,1.0038,0.0029414,-0.00082149,1.0039,6.75,0.7,5.0914
-0,1.0138,-0.0015617,0.0036378,1.0138,0.0036378,-0.0015617,1.0138,8.05,0.6,5.0914
-0,1.0059,-0.0008397,0.0024297,1.0059,0.0024297,-0.0008397,1.0059,7.15,0.5,5.0914
-0,1.0105,-0.0013006,0.0018541,1.0105,0.0018541,-0.0013006,1.0105,7.65,0.4,5.0914
-0,1.0087,-0.00025478,0.0016894,1.0087,0.0016894,-0.00025478,1.0087,7.55,0.3,5.0914
-0,1.0058,-0.00082031,0.0010144,1.0058,0.0010144,-0.00082031,1.0058,7.25,0.2,5.0914
-0,1.0122,-0.0013353,0.00014165,1.0122,0.00014165,-0.0013353,1.0122,7.95,0.1,5.0914
-0,1.0035,-0.00030027,-2.7002e-05,1.0035,-2.7002e-05,-0.00030027,1.0035,6.85,-6.2864e-08,5.0914
-0,1.0149,-0.0013808,-0.001076,1.0149,-0.001076,-0.0013808,1.0149,8.35,-0.1,5.0914
-0,1.0023,-0.0017428,-8.5253e-05,1.0023,-8.5253e-05,-0.0017428,1.0023,6.45,-0.2,5.0914
-0,1.0128,-0.0022708,-0.0017481,1.0128,-0.0017481,-0.0022708,1.0128,8.75,-0.3,5.0914
-0,1.0019,-0.0017572,-0.0011868,1.0019,-0.0011868,-0.0017572,1.0019,6.05,-0.4,5.0914
-0,1.0111,-0.00058443,-0.0031547,1.0111,-0.0031547,-0.00058443,1.0111,9.15,-0.5,5.0914
-0,1.002,-0.00020743,-0.0013469,1.002,-0.0013469,-0.00020743,1.002,5.65,-0.6,5.0914
