"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,0,-0.0045673,2.1581e-05,0.0017777,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.003498,-1.275e-05,0.00013437,0,13.846,-7.6558,-2.8125
1,-0,0,0,-1.1494e-06,8.1541e-06,0.00012625,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.020307,3.2323e-05,-0.00018839,0,3.5496,7.6557,-2.8125
-0,0.99796,0.0011743,-0.0011324,0.99796,-0.0011324,0.0011743,0.99796,0.07976,7.6568,3.09
-0,0.99992,0.00051941,0.00023298,0.99992,0.00023298,0.00051941,0.99992,0.079729,-2.3031,5.093
-0,0.98232,-0.0019198,-0.000847,0.98232,-0.000847,-0.0019198,0.98233,9.4501,-7.6565,5.0928
-1.5257e-41,1.0045,-0.066799,-0.00050544,1.0045,-0.00050544,-0.066799,1.0068,14.92,1.6,5.093
-0,0.99038,-0.0012417,-0.00037219,0.99038,-0.00037219,-0.0012417,0.99038,6.75,7.6565,5.0928
-0,1.0022,-0.0019391,0.0005115,1.0022,0.0005115,-0.0019391,1.0022,8.05,7.4682,5.0924
-0,1.004,-0.0011711,0.00028864,1.004,0.00028864,-0.0011711,1.004,7.15,7.2758,5.0922
-0,1.0033,-0.0024124,0.00077181,1.0033,0.00077181,-0.0024124,1.0033,7.65,7.0784,5.0919
-0,1.0031,-0.0020218,0.00077107,1.0031,0.00077107,-0.0020218,1.0031,7.55,6.8766,5.0918
-0,1.0032,-0.0014172,0.00088529,1.0032,0.00088529,-0.0014172,1.0032,7.25,6.6719,5.0917
-0,1.0032,-0.0020145,0.0010022,1.0032,0.0010022,-0.0020145,1.0032,7.95,6.4662,5.0916
-0,1.0033,-0.0012805,0.0012703,1.0033,0.0012703,-0.0012805,1.0033,6.85,6.2608,5.0916
-0,1.0037,-0.0024284,0.0010728,1.0037,0.0010728,-0.0024284,1.0037,8.35,6.0566,5.0915
-0,1.0041,-0.0019848,0.0016893,1.0041,0.0016893,-0.0019848,1.0041,6.45,5.8537,5.0915
-0,1.0046,-0.0022228,0.0010358,1.0046,0.0010358,-0.0022228,1.0046,8.75,5.6519,5.0914
-0,1.0059,0.00084585,0.002223,1.0059,0.002223,0.00084585,1.0059,6.05,5.4509,5.0914
-0,1.0056,-0.0023005,0.00097101,1.0056,0.00097101,-0.0023005,1.0057,9.15,5.2504,5.0914
