"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,0,-0,0,0.0015701,9.7062e-06,-0.00023151,0,0.24428,-7.4666,-2.7177
1,0,0,0,0.00017266,9.7184e-07,1.0169e-05,0,13.846,-7.6558,-2.8125
1,0,0,-0,2.1679e-09,-2.2228e-05,1.1068e-06,0,14.919,4.6524,-2.8126
1,0,0,-0,0.00086453,-4.2356e-06,9.1299e-06,0,3.5496,7.6557,-2.8125
-0,0.99801,1.2143e-05,-0.0010279,0.99801,-0.0010279,1.2143e-05,0.99801,0.07976,7.6568,3.09
-0,1.0014,-0.0014631,-1.5827e-05,1.0014,-1.5827e-05,-0.0014631,1.0014,0.079729,-2.3031,5.093
-0,0.99493,-0.003899,-9.5125e-05,0.99493,-9.5125e-05,-0.003899,0.99494,9.4501,-7.6565,5.0928
-4.7367e-32,1.0043,-0.034169,0.0037967,1.0043,0.0037967,-0.034169,1.0049,14.92,1.6,5.093
-0,0.99213,-0.003645,0.00027758,0.99213,0.00027758,-0.003645,0.99214,6.75,7.6565,5.0928
-0,1.0091,-0.0031366,0.00026261,1.0091,0.00026261,-0.0031366,1.0091,8.05,7.4682,5.0924
-0,1.0083,-0.0040743,0.00020575,1.0083,0.00020575,-0.0040743,1.0084,7.15,7.2758,5.0922
-0,1.0076,-0.003286,0.00029998,1.0076,0.00029998,-0.003286,1.0076,7.65,7.0784,5.0919
-0,1.007,-0.0032408,0.00035518,1.007,0.00035518,-0.0032408,1.007,7.55,6.8766,5.0918
-0,1.0067,-0.0035056,0.00045667,1.0067,0.00045667,-0.0035056,1.0067,7.25,6.6719,5.0917
-0,1.008,-0.0033873,0.00055187,1.008,0.00055187,-0.0033873,1.008,7.95,6.4662,5.0916
-0,1.0072,-0.0033987,0.00085375,1.0072,0.00085375,-0.0033987,1.0072,6.85,6.2608,5.0916
-0,1.0102,-0.0035445,0.00083728,1.0102,0.00083728,-0.0035445,1.0102,8.35,6.0566,5.0915
-0,1.0077,-0.0033483,0.0012832,1.0077,0.0012832,-0.0033483,1.0077,6.45,5.8537,5.0915
-0,1.0114,-0.0033176,0.00095421,1.0114,0.00095421,-0.0033176,1.0114,8.75,5.6519,5.0914
-0,1.0078,-0.00329,0.0017694,1.0078,0.0017694,-0.00329,1.0078,6.05,5.4509,5.0914
-0,1.0117,-0.0044544,0.0008665,1.0117,0.0008665,-0.0044544,1.0117,9.15,5.2504,5.0914
-0,1.0072,-0.0032632,0.0021026,1.0072,0.0021026,-0.0032632,1.0072,5.65,5.0502,5.0914
-0,1.0111,-0.0036213,0.00071571,1.0111,0.00071571,-0.0036213,1.0111,9.5502,4.8502,5.0914
-0,1.0061,-0.0029376,0.0022419,1.0061,0.0022419,-0.0029376,1.0061,5.2479,4.6508,5.0915
-0,1.0095,-0.0040269,0.00051192,1.0095,0.00051192,-0.0040269,1.0095,9.9628,4.4533,5.0917
-0,1.0045,-0.0027857,0.002031,1.0045,0.002031,-0.0027857,1.0045,4.7979,4.2617,5.0915
-0,1.0074,-0.0044446,0.00032936,1.0074,0.00032936,-0.0044446,1.0075,10.499,4.0819,5.091
-0,1.0026,-0.0029303,0.0013818,1.0026,0.0013818,-0.0029303,1.0026,4.1412,3.9174,5.0911
