"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,-0,-0.0054441,-4.0069e-05,0.0017519,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0024046,-2.621e-06,9.203e-05,0,13.846,-7.6558,-2.8125
1,0,0,-0,3.4126e-07,-2.6982e-05,9.0267e-05,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.003465,1.2897e-05,-0.000374,0,3.5496,7.6557,-2.8125
-0,0.99797,0.0074495,-0.00076927,0.99797,-0.00076927,0.0074495,0.998,0.07976,7.6568,3.09
-0,1.001,-0.0004334,3.7446e-05,1.001,3.7446e-05,-0.0004334,1.001,0.079729,-2.3031,5.093
-0,1.0059,-0.0099328,-0.00017809,1.0059,-0.00017809,-0.0099328,1.006,9.4501,-7.6565,5.0928
-1.1831e-34,1.017,-0.023321,0.0090882,1.017,0.0090882,-0.023321,1.0173,14.92,1.6,5.093
-0,0.98047,-0.010766,0.0006091,0.98047,0.0006091,-0.010766,0.98053,6.75,7.6565,5.0928
-0,1.0093,-0.0087038,3.7882e-05,1.0093,3.7882e-05,-0.0087038,1.0093,8.05,7.4682,5.0924
-0,1.0064,-0.008172,0.00010686,1.0064,0.00010686,-0.008172,1.0065,7.15,7.2758,5.0922
-0,1.0089,-0.007858,-0.0001556,1.0089,-0.0001556,-0.007858,1.009,7.65,7.0784,5.0919
-0,1.0091,-0.0077894,-0.00021097,1.0091,-0.00021097,-0.0077894,1.0092,7.55,6.8766,5.0918
-0,1.0076,-0.0076013,-5.8045e-05,1.0076,-5.8045e-05,-0.0076013,1.0076,7.25,6.6719,5.0917
-0,1.0198,-0.0077582,0.0005291,1.0198,0.0005291,-0.0077582,1.0198,7.95,6.4662,5.0916
-0,1.0054,-0.0074196,0.00030669,1.0054,0.00030669,-0.0074196,1.0054,6.85,6.2608,5.0916
-0,1.0311,-0.0076947,0.0014202,1.0311,0.0014202,-0.0076947,1.0311,8.35,6.0566,5.0915
-0,1.0033,-0.0075872,0.00058892,1.0033,0.00058892,-0.0075872,1.0034,6.45,5.8537,5.0915
-0,1.0417,-0.0080377,0.0023906,1.0417,0.0023906,-0.0080377,1.0418,8.75,5.6519,5.0914
-0,1.0016,-0.0084616,0.00077755,1.0016,0.00077755,-0.0084616,1.0016,6.05,5.4509,5.0914
-0,1.0512,-0.0090414,0.0032854,1.0512,0.0032854,-0.0090414,1.0512,9.15,5.2504,5.0914
-0,0.99999,-0.0098441,0.00091634,0.99999,0.00091634,-0.0098441,1,5.65,5.0502,5.0914
-0,1.0583,-0.010379,0.0037194,1.0583,0.0037194,-0.010379,1.0584,9.5502,4.8502,5.0914
-0,0.99841,-0.011796,0.0010391,0.99841,0.0010391,-0.011796,0.99848,5.2479,4.6508,5.0915
-0,1.0625,-0.011941,0.0035768,1.0625,0.0035768,-0.011941,1.0626,9.9628,4.4533,5.0917
-0,0.99645,-0.014757,0.0011768,0.99645,0.0011768,-0.014757,0.99656,4.7979,4.2617,5.0915
-0,1.0612,-0.01409,0.0025835,1.0612,0.0025835,-0.01409,1.0613,10.499,4.0819,5.091
-0,0.99151,-0.019734,0.0020211,0.99151,0.0020211,-0.019734,0.99171,4.1412,3.9174,5.0911
-0,1.0495,-0.016215,0.0012417,1.0495,0.0012417,-0.016215,1.0496,11.251,3.7692,5.0916
-0,0.9915,-0.023896,0.0016209,0.9915,0.0016209,-0.023896,0.99179,3.35,3.637,5.0918
-0,1.035,-0.018143,0.00087951,1.035,0.00087951,-0.018143,1.0352,12.05,3.518,5.0919
-0,0.99716,-0.028054,0.00056869,0.99716,0.00056869,-0.028054,0.99755,2.55,3.4079,5.0917
-0,1.0259,-0.02068,0.0012608,1.0259,0.0012608,-0.02068,1.0261,12.85,3.3031,5.0916
-0,1.0006,-0.024431,0.00030372,1.0006,0.00030372,-0.024431,1.0009,1.7494,3.2011,5.0915
-0,1.0216,-0.022064,0.0020355,1.0216,0.0020355,-0.022064,1.0218,13.65,3.1003,5.0914
-0,1.004,-0.0050324,0.00018025,1.004,0.00018025,-0.0050324,1.004,0.95676,3.0001,5.0914
-0,1.0187,-0.023379,0.0022287,1.0187,0.0022287,-0.023379,1.019,14.416,2.9,5.0919
-0,1.0026,-0.00099704,1.4348e-05,1.0026,1.4348e-05,-0.00099704,1.0026,0.24128,2.8,5.0927
-0,1.0181,-0.024047,0.0023217,1.0181,0.0023217,-0.024047,1.0183,14.591,2.8,5.0923
-0,1.0035,-0.0036171,0.00015912,1.0035,0.00015912,-0.0036171,1.0035,0.7667,2.7,5.0916
-0,1.02,-0.021997,0.0038754,1.02,0.0038754,-0.021997,1.0202,13.848,2.6,5.0914
-0,1.0015,-0.017404,0.00024331,1.0015,0.00024331,-0.017404,1.0017,1.5493,2.5,5.0914
-0,1.0201,-0.020271,0.003728,1.0201,0.003728,-0.020271,1.0203,13.05,2.4,5.0914
-0,0.99769,-0.025849,0.00043377,0.99769,0.00043377,-0.025849,0.99803,2.3499,2.3,5.0914
-0,1.0223,-0.018722,0.0026277,1.0223,0.0026277,-0.018722,1.0224,12.25,2.2,5.0914
-0,0.9905,-0.021448,0.0014651,0.9905,0.0014651,-0.021448,0.99073,3.15,2.1,5.0914
-0,1.0304,-0.01707,0.00071819,1.0304,0.00071819,-0.01707,1.0305,11.45,2,5.0914
-0,0.98474,-0.01461,0.0030522,0.98474,0.0030522,-0.01461,0.98485,3.9482,1.9,5.0913
-0,1.0471,-0.018413,-0.0015791,1.0471,-0.0015791,-0.018413,1.0473,10.667,1.8,5.0912
-0,0.98611,-0.0068154,0.0046418,0.98611,0.0046418,-0.0068154,0.98614,4.667,1.7,5.0914
-0,1.0644,-0.021745,-0.0018288,1.0644,-0.0018288,-0.021745,1.0647,10.07,1.6,5.0917
-0,0.99017,-0.0037122,0.0048781,0.99017,0.0048781,-0.0037122,0.99019,5.1469,1.5,5.0916
-0,1.077,-0.025653,0.00031268,1.077,0.00031268,-0.025653,1.0773,9.6503,1.4,5.0915
-0,0.99264,-0.0013297,0.004944,0.99264,0.004944,-0.0013297,0.99265,5.55,1.3,5.0914
-0,1.0849,-0.028637,0.0046416,1.0849,0.0046416,-0.028637,1.0853,9.25,1.2,5.0914
-0,0.99672,-0.0025952,0.0051188,0.99672,0.0051188,-0.0025952,0.99674,5.95,1.1,5.0914
-0,1.0837,-0.028384,0.010751,1.0837,0.010751,-0.028384,1.0841,8.85,1,5.0914
-0,0.99976,-1.9545e-05,0.0059146,0.99976,0.0059146,-1.9545e-05,0.99978,6.35,0.9,5.0914
-0,1.0737,-0.017702,0.014969,1.0737,0.014969,-0.017702,1.0739,8.45,0.8,5.0914
-0,1.0058,0.00011568,0.0065575,1.0058,0.0065575,0.00011568,1.0058,6.75,0.7,5.0914
-0,1.0579,-0.0088225,0.013069,1.0579,0.013069,-0.0088225,1.058,8.05,0.6,5.0914
-0,1.0154,-0.00014127,0.0066889,1.0154,0.0066889,-0.00014127,1.0154,7.15,0.5,5.0914
-0,1.0372,-0.0008878,0.0068163,1.0372,0.0068163,-0.0008878,1.0372,7.65,0.4,5.0914
