"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,-0,-0.0073699,-0.00014728,0.0036044,0,0.24428,-7.4666,-2.7177
1,0,0,0,0.0014153,3.3715e-06,6.6089e-05,0,13.846,-7.6558,-2.8125
1,0,0,-0,9.1912e-07,-0.00013139,3.798e-05,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.0077876,2.6449e-05,-0.00030394,0,3.5496,7.6557,-2.8125
-0,0.99785,-0.057599,-0.00084537,0.99785,-0.00084537,-0.057599,0.99951,0.07976,7.6568,3.09
-0,1.0008,-0.067757,-0.0001543,1.0008,-0.0001543,-0.067757,1.003,0.079729,-2.3031,5.093
-0,1.025,-0.012101,-0.00023783,1.025,-0.00023783,-0.012101,1.025,9.4501,-7.6565,5.0928
-2.5012e-37,1.0039,-0.064839,-0.00048091,1.0039,-0.00048091,-0.064839,1.006,14.92,1.6,5.093
-0,0.99866,-0.014397,0.00037132,0.99866,0.00037132,-0.014397,0.99876,6.75,7.6565,5.0928
-0,1.0296,-0.015582,-2.2499e-05,1.0296,-2.2499e-05,-0.015582,1.0297,8.05,7.4682,5.0924
-0,1.0275,-0.015323,7.2012e-05,1.0275,7.2012e-05,-0.015323,1.0276,7.15,7.2758,5.0922
-0,1.0378,-0.015118,-0.00018995,1.0378,-0.00018995,-0.015118,1.0379,7.65,7.0784,5.0919
-0,1.04,-0.015544,9.406e-05,1.04,9.406e-05,-0.015544,1.0401,7.55,6.8766,5.0918
-0,1.0384,-0.01493,0.00045064,1.0384,0.00045064,-0.01493,1.0386,7.25,6.6719,5.0917
-0,1.0526,-0.015106,0.00077156,1.0526,0.00077156,-0.015106,1.0527,7.95,6.4662,5.0916
-0,1.0343,-0.014317,0.0014731,1.0343,0.0014731,-0.014317,1.0344,6.85,6.2608,5.0916
-0,1.0616,-0.014841,0.0008901,1.0616,0.0008901,-0.014841,1.0617,8.35,6.0566,5.0915
-0,1.0273,-0.01384,0.0022901,1.0273,0.0022901,-0.01384,1.0274,6.45,5.8537,5.0915
-0,1.0727,-0.015059,0.0012622,1.0727,0.0012622,-0.015059,1.0728,8.75,5.6519,5.0914
-0,1.0204,-0.014246,0.0030285,1.0204,0.0030285,-0.014246,1.0205,6.05,5.4509,5.0914
-0,1.0799,-0.01426,0.0011438,1.0799,0.0011438,-0.01426,1.0799,9.15,5.2504,5.0914
-0,1.0119,-0.01557,0.0031105,1.0119,0.0031105,-0.01557,1.012,5.65,5.0502,5.0914
-0,1.0842,-0.013251,0.00024001,1.0842,0.00024001,-0.013251,1.0843,9.5502,4.8502,5.0914
-0,1.0044,-0.017544,0.0031109,1.0044,0.0031109,-0.017544,1.0045,5.2479,4.6508,5.0915
-0,1.083,-0.012585,-0.001358,1.083,-0.001358,-0.012585,1.0831,9.9628,4.4533,5.0917
-0,0.99903,-0.019472,0.0030966,0.99903,0.0030966,-0.019472,0.99922,4.7979,4.2617,5.0915
-0,1.0758,-0.011804,-0.0037405,1.0758,-0.0037405,-0.011804,1.0759,10.499,4.0819,5.091
-0,0.9915,-0.02655,0.0031746,0.9915,0.0031746,-0.02655,0.99186,4.1412,3.9174,5.0911
-0,1.0555,-0.011055,-0.0054289,1.0555,-0.0054289,-0.011055,1.0555,11.251,3.7692,5.0916
-0,0.98494,-0.04295,0.0025616,0.98494,0.0025616,-0.04295,0.98588,3.35,3.637,5.0918
-0,1.0374,-0.012773,-0.0057575,1.0374,-0.0057575,-0.012773,1.0375,12.05,3.518,5.0919
-0,0.98463,-0.065625,0.0021376,0.98463,0.0021376,-0.065625,0.98682,2.55,3.4079,5.0917
-0,1.0272,-0.013738,-0.0048224,1.0272,-0.0048224,-0.013738,1.0273,12.85,3.3031,5.0916
-0,0.99237,-0.08579,0.0011804,0.99237,0.0011804,-0.08579,0.99608,1.7494,3.2011,5.0915
-0,1.0199,-0.015847,-0.0033796,1.0199,-0.0033796,-0.015847,1.02,13.65,3.1003,5.0914
-0,1.003,-0.095332,0.000607,1.003,0.000607,-0.095332,1.0075,0.95676,3.0001,5.0914
-0,1.0136,-0.021417,-0.0019517,1.0136,-0.0019517,-0.021417,1.0139,14.416,2.9,5.0919
-0,1.006,-0.086469,0.00024057,1.006,0.00024057,-0.086469,1.0098,0.24128,2.8,5.0927
