"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,-0,0,-0,-0.0021277,-1.1725e-05,0.00098884,0,0.24428,-7.4666,-2.7177
1,0,0,-0,0.0053031,-3.5293e-06,0.00021085,0,13.846,-7.6558,-2.8125
1,0,0,-0,1.2902e-06,-6.8992e-05,0.00020047,0,14.919,4.6524,-2.8126
1,-0,-0,0,-0.0026864,2.3894e-07,-0.00012236,0,3.5496,7.6557,-2.8125
-0,0.99795,0.00063282,-0.0011206,0.99795,-0.0011206,0.00063282,0.99795,0.07976,7.6568,3.09
-0,1.0002,-0.00087988,-0.00028233,1.0002,-0.00028233,-0.00087988,1.0002,0.079729,-2.3031,5.093
-0,0.97997,-0.018043,-0.00061063,0.97997,-0.00061063,-0.018043,0.98014,9.4501,-7.6565,5.0928
-1.1093e-32,1.0036,-0.039565,1.5745e-05,1.0036,1.5745e-05,-0.039565,1.0043,14.92,1.6,5.093
-0,0.97519,-0.022905,0.00089429,0.97519,0.00089429,-0.022905,0.97546,6.75,7.6565,5.0928
-0,0.99926,-0.019545,5.7274e-05,0.99926,5.7274e-05,-0.019545,0.99945,8.05,7.4682,5.0924
-0,0.99943,-0.021127,0.00011225,0.99943,0.00011225,-0.021127,0.99966,7.15,7.2758,5.0922
-0,1.0009,-0.018011,0.0001201,1.0009,0.0001201,-0.018011,1.0011,7.65,7.0784,5.0919
-0,1.0009,-0.017171,0.00016196,1.0009,0.00016196,-0.017171,1.001,7.55,6.8766,5.0918
-0,1.0004,-0.017169,0.00021551,1.0004,0.00021551,-0.017169,1.0006,7.25,6.6719,5.0917
-0,1.0016,-0.014287,0.00021705,1.0016,0.00021705,-0.014287,1.0017,7.95,6.4662,5.0916
-0,0.99995,-0.016524,0.0003387,0.99995,0.0003387,-0.016524,1.0001,6.85,6.2608,5.0916
-0,1.0022,-0.013037,0.0002613,1.0022,0.0002613,-0.013037,1.0023,8.35,6.0566,5.0915
-0,0.99968,-0.015256,0.00048674,0.99968,0.00048674,-0.015256,0.9998,6.45,5.8537,5.0915
-0,1.0029,-0.013282,0.00032086,1.0029,0.00032086,-0.013282,1.003,8.75,5.6519,5.0914
-0,0.99966,-0.012165,0.00067613,0.99966,0.00067613,-0.012165,0.99973,6.05,5.4509,5.0914
-0,1.0034,-0.01472,0.00041117,1.0034,0.00041117,-0.01472,1.0035,9.15,5.2504,5.0914
-0,1.0004,-0.0042125,0.0013107,1.0004,0.0013107,-0.0042125,1.0004,5.65,5.0502,5.0914
-0,1.0037,-0.020891,0.00055256,1.0037,0.00055256,-0.020891,1.0039,9.5502,4.8502,5.0914
-0,1.0022,-0.0022778,0.0027541,1.0022,0.0027541,-0.0022778,1.0022,5.2479,4.6508,5.0915
-0,1.0049,-0.027677,0.00072634,1.0049,0.00072634,-0.027677,1.0053,9.9628,4.4533,5.0917
-0,1.0042,-0.0023116,0.0041746,1.0042,0.0041746,-0.0023116,1.0043,4.7979,4.2617,5.0915
-0,1.0067,-0.035249,0.00072974,1.0067,0.00072974,-0.035249,1.0074,10.499,4.0819,5.091
-0,1.0088,-0.0024604,0.0044446,1.0088,0.0044446,-0.0024604,1.0088,4.1412,3.9174,5.0911
-0,1.0076,-0.041169,0.0002943,1.0076,0.0002943,-0.041169,1.0085,11.251,3.7692,5.0916
